Row Labels,Count of birth_range
-10,7
30.0-40.0,2
40.0-50.0,1
50.0-60.0,1
480.0-490.0,1
500.0-510.0,1
1300.0-1310.0,1
1310.0-1320.0,1
1330.0-1340.0,1
1340.0-1350.0,1
1390.0-1400.0,1
1400.0-1410.0,2
1420.0-1430.0,1
1440.0-1450.0,1
1460.0-1470.0,2
1470.0-1480.0,3
1490.0-1500.0,1
1530.0-1540.0,2
1550.0-1560.0,2
1560.0-1570.0,6
1570.0-1580.0,5
1580.0-1590.0,4
1590.0-1600.0,1
1600.0-1610.0,4
1610.0-1620.0,3
1620.0-1630.0,3
1630.0-1640.0,3
1640.0-1650.0,2
1650.0-1660.0,2
1660.0-1670.0,3
1670.0-1680.0,3
1680.0-1690.0,5
1690.0-1700.0,4
1700.0-1710.0,4
1710.0-1720.0,4
1720.0-1730.0,12
1730.0-1740.0,10
1740.0-1750.0,12
1750.0-1760.0,14
1760.0-1770.0,12
1770.0-1780.0,21
1780.0-1790.0,26
1790.0-1800.0,31
1800.0-1810.0,56
1810.0-1820.0,67
1820.0-1830.0,71
1830.0-1840.0,81
1840.0-1850.0,107
1850.0-1860.0,153
1860.0-1870.0,185
1870.0-1880.0,162
1880.0-1890.0,104
1890.0-1900.0,41
1900.0-1910.0,16
1910.0-1920.0,12
1920.0-1930.0,24
1930.0-1940.0,4
1940.0-1950.0,1
1970.0-1980.0,1
2000.0-2010.0,1
