book,author,birthYear,bookLabel,authorLabel,authorLast,book_QN,author_QN
http://www.wikidata.org/entity/Q43361,http://www.wikidata.org/entity/Q34660,1965,Harry Potter and the Philosopher's Stone,J. K. Rowling,Rowling,Q43361,Q34660
http://www.wikidata.org/entity/Q7733516,http://www.wikidata.org/entity/Q380291,1583,The Fatal Dowry,Philip Massinger,Massinger,Q7733516,Q380291
http://www.wikidata.org/entity/Q1189993,http://www.wikidata.org/entity/Q42831,1818,First Love,Ivan Turgenev,Turgenev,Q1189993,Q42831
http://www.wikidata.org/entity/Q2007957,http://www.wikidata.org/entity/Q37327,1906,First Love,Samuel Beckett,Beckett,Q2007957,Q37327
http://www.wikidata.org/entity/Q5453229,http://www.wikidata.org/entity/Q1439360,1731,First Love,Richard Cumberland,Cumberland,Q5453229,Q1439360
http://www.wikidata.org/entity/Q5453229,http://www.wikidata.org/entity/Q1439360,1732,First Love,Richard Cumberland,Cumberland,Q5453229,Q1439360
http://www.wikidata.org/entity/Q83922365,http://www.wikidata.org/entity/Q11476362,1983,First Love,Rio Shimamoto,Shimamoto,Q83922365,Q11476362
http://www.wikidata.org/entity/Q7763715,http://www.wikidata.org/entity/Q90238,1828,The Shaving of Shagpat,George Meredith,Meredith,Q7763715,Q90238
http://www.wikidata.org/entity/Q7763715,http://www.wikidata.org/entity/Q90238,1828,The Shaving of Shagpat,George Meredith,Meredith,Q7763715,Q90238
http://www.wikidata.org/entity/Q462454,http://www.wikidata.org/entity/Q39829,1947,The Talisman,Stephen King,King,Q462454,Q39829
http://www.wikidata.org/entity/Q462454,http://www.wikidata.org/entity/Q364189,1943,The Talisman,Peter Straub,Straub,Q462454,Q364189
http://www.wikidata.org/entity/Q952340,http://www.wikidata.org/entity/Q79025,1771,The Talisman,Walter Scott,Scott,Q952340,Q79025
http://www.wikidata.org/entity/Q1197313,http://www.wikidata.org/entity/Q44862,1801,The Talisman,Johann Nestroy,Nestroy,Q1197313,Q44862
http://www.wikidata.org/entity/Q7763715,http://www.wikidata.org/entity/Q90238,1828,The Shaving of Shagpat,George Meredith,Meredith,Q7763715,Q90238
http://www.wikidata.org/entity/Q7763715,http://www.wikidata.org/entity/Q90238,1828,The Shaving of Shagpat,George Meredith,Meredith,Q7763715,Q90238
http://www.wikidata.org/entity/Q19030517,http://www.wikidata.org/entity/Q76548,1260,Sermons,Meister Eckhart,Eckhart,Q19030517,Q76548
http://www.wikidata.org/entity/Q107662922,http://www.wikidata.org/entity/Q2366276,1564,Sermons,Patrick Forbes,Forbes,Q107662922,Q2366276
http://www.wikidata.org/entity/Q107662922,http://www.wikidata.org/entity/Q2366276,1564,Sermons,Patrick Forbes,Forbes,Q107662922,Q2366276
http://www.wikidata.org/entity/Q121031930,http://www.wikidata.org/entity/Q455162,1190,Sermons,Vincent of Beauvais,Beauvais,Q121031930,Q455162
http://www.wikidata.org/entity/Q7763715,http://www.wikidata.org/entity/Q90238,1828,The Shaving of Shagpat,George Meredith,Meredith,Q7763715,Q90238
http://www.wikidata.org/entity/Q2747727,http://www.wikidata.org/entity/Q1821851,1844,The Aquarian Gospel of Jesus the Christ,Levi H. Dowling,Dowling,Q2747727,Q1821851
http://www.wikidata.org/entity/Q15877718,http://www.wikidata.org/entity/Q437798,1863,Langs lijnen van geleidelijkheid,Louis Couperus,Couperus,Q15877718,Q437798
http://www.wikidata.org/entity/Q5602549,http://www.wikidata.org/entity/Q548140,1883,Green Fire,Eric Temple Bell,Bell,Q5602549,Q548140
http://www.wikidata.org/entity/Q6315940,http://www.wikidata.org/entity/Q235368,1868,Just David,Eleanor H. Porter,Porter,Q6315940,Q235368
http://www.wikidata.org/entity/Q3302488,http://www.wikidata.org/entity/Q7724,1849,The Son of a Servant,August Strindberg,Strindberg,Q3302488,Q7724
http://www.wikidata.org/entity/Q2470642,http://www.wikidata.org/entity/Q23441,1848,Le Calvaire,Octave Mirbeau,Mirbeau,Q2470642,Q23441
http://www.wikidata.org/entity/Q7162557,http://www.wikidata.org/entity/Q1340238,1967,Penelope,Enda Walsh,Walsh,Q7162557,Q1340238
http://www.wikidata.org/entity/Q27928382,http://www.wikidata.org/entity/Q134942,1874,Penelope,William Somerset Maugham,Maugham,Q27928382,Q134942
http://www.wikidata.org/entity/Q123320930,http://www.wikidata.org/entity/Q957427,1405,Le miroir de mort,Georges Chastellain,Chastellain,Q123320930,Q957427
http://www.wikidata.org/entity/Q20523112,http://www.wikidata.org/entity/Q3194485,1959,The Friends,Kazumi Yumoto,Yumoto,Q20523112,Q3194485
http://www.wikidata.org/entity/Q16272319,http://www.wikidata.org/entity/Q170512,125,Florida,Apuleius,Apuleius,Q16272319,Q170512
http://www.wikidata.org/entity/Q7728340,http://www.wikidata.org/entity/Q768776,1946,The Crystal Palace,Phyllis Eisenstein,Eisenstein,Q7728340,Q768776
http://www.wikidata.org/entity/Q2376571,http://www.wikidata.org/entity/Q309702,1797,Cinq-Mars,Alfred de Vigny,Vigny,Q2376571,Q309702
http://www.wikidata.org/entity/Q2376571,http://www.wikidata.org/entity/Q309702,1797,Cinq-Mars,Alfred de Vigny,Vigny,Q2376571,Q309702
http://www.wikidata.org/entity/Q2376571,http://www.wikidata.org/entity/Q309702,1797,Cinq-Mars,Alfred de Vigny,Vigny,Q2376571,Q309702
http://www.wikidata.org/entity/Q2376571,http://www.wikidata.org/entity/Q309702,1797,Cinq-Mars,Alfred de Vigny,Vigny,Q2376571,Q309702
http://www.wikidata.org/entity/Q7011009,http://www.wikidata.org/entity/Q76483,1875,New Poems,Rainer Maria Rilke,Rilke,Q7011009,Q76483
http://www.wikidata.org/entity/Q3212510,http://www.wikidata.org/entity/Q132589,1916,The Hive,Camilo José Cela,Cela,Q3212510,Q132589
http://www.wikidata.org/entity/Q7739893,http://www.wikidata.org/entity/Q2594458,1952,The Hive,Steven Barnes,Barnes,Q7739893,Q2594458
http://www.wikidata.org/entity/Q65090483,http://www.wikidata.org/entity/Q217110,1951,The Hive,Orson Scott Card,Card,Q65090483,Q217110
http://www.wikidata.org/entity/Q65090483,http://www.wikidata.org/entity/Q18518638,1950,The Hive,Aaron Johnston,Johnston,Q65090483,Q18518638
http://www.wikidata.org/entity/Q6044285,http://www.wikidata.org/entity/Q129533,1920,Nocturnos,Idea Vilariño,Vilariño,Q6044285,Q129533
http://www.wikidata.org/entity/Q51377010,http://www.wikidata.org/entity/Q44483,1894,Proceedings,Alexander Ivanovich Oparin,Oparin,Q51377010,Q44483
http://www.wikidata.org/entity/Q6540339,http://www.wikidata.org/entity/Q376410,1855,Libahunt,August Kitzberg,Kitzberg,Q6540339,Q376410
http://www.wikidata.org/entity/Q7760542,http://www.wikidata.org/entity/Q130873,1913,The Revolt,Menachem Begin,Begin,Q7760542,Q130873
http://www.wikidata.org/entity/Q4839103,http://www.wikidata.org/entity/Q461360,1947,Back Home,Michelle Magorian,Magorian,Q4839103,Q461360
http://www.wikidata.org/entity/Q17103580,http://www.wikidata.org/entity/Q7241,1861,Chitra,Rabindranath Tagore,Tagore,Q17103580,Q7241
http://www.wikidata.org/entity/Q2851345,http://www.wikidata.org/entity/Q79025,1771,Anne of Geierstein,Walter Scott,Scott,Q2851345,Q79025
http://www.wikidata.org/entity/Q112892339,http://www.wikidata.org/entity/Q297532,1953,Detectives,Roberto Bolaño,Bolaño,Q112892339,Q297532
http://www.wikidata.org/entity/Q7330394,http://www.wikidata.org/entity/Q318462,1803,Richelieu,Edward Bulwer-Lytton,Bulwer-Lytton,Q7330394,Q318462
http://www.wikidata.org/entity/Q7330394,http://www.wikidata.org/entity/Q318462,1803,Richelieu,Edward Bulwer-Lytton,Bulwer-Lytton,Q7330394,Q318462
http://www.wikidata.org/entity/Q7330394,http://www.wikidata.org/entity/Q318462,1803,Richelieu,Edward Bulwer-Lytton,Bulwer-Lytton,Q7330394,Q318462
http://www.wikidata.org/entity/Q19072908,http://www.wikidata.org/entity/Q7788899,1848,William Dwight Whitney,Thomas Day Seymour,Seymour,Q19072908,Q7788899
http://www.wikidata.org/entity/Q11970411,http://www.wikidata.org/entity/Q370246,1847,Fru Marie Grubbe,Jens Peter Jacobsen,Jacobsen,Q11970411,Q370246
http://www.wikidata.org/entity/Q53592,http://www.wikidata.org/entity/Q33977,1828,From the Earth to the Moon,Jules Verne,Verne,Q53592,Q33977
http://www.wikidata.org/entity/Q61767351,http://www.wikidata.org/entity/Q5301721,1914,The Deserter,Douglas LePan,LePan,Q61767351,Q5301721
http://www.wikidata.org/entity/Q1500229,http://www.wikidata.org/entity/Q25351,1817,The History of Rome,Theodor Mommsen,Mommsen,Q1500229,Q25351
http://www.wikidata.org/entity/Q6888803,http://www.wikidata.org/entity/Q179126,1819,Modern Painters,John Ruskin,Ruskin,Q6888803,Q179126
http://www.wikidata.org/entity/Q1196629,http://www.wikidata.org/entity/Q5673,1805,The Shadow,Hans Christian Andersen,Andersen,Q1196629,Q5673
http://www.wikidata.org/entity/Q48782486,http://www.wikidata.org/entity/Q207515,1881,The Shadow Passes,P. G. Wodehouse,Wodehouse,Q48782486,Q207515
http://www.wikidata.org/entity/Q442,http://www.wikidata.org/entity/Q82778,20,Natural History,Pliny the Elder,Elder,Q442,Q82778
http://www.wikidata.org/entity/Q45321315,http://www.wikidata.org/entity/Q442626,1968,Natural History,Justina Robson,Robson,Q45321315,Q442626
http://www.wikidata.org/entity/Q245961,http://www.wikidata.org/entity/Q313254,1943,Bliss,Peter Carey,Carey,Q245961,Q313254
http://www.wikidata.org/entity/Q1532788,http://www.wikidata.org/entity/Q248059,1946,Bliss,Zülfü Livaneli,Livaneli,Q1532788,Q248059
http://www.wikidata.org/entity/Q4926846,http://www.wikidata.org/entity/Q270632,1888,Bliss,Katherine Mansfield,Mansfield,Q4926846,Q270632
http://www.wikidata.org/entity/Q3285533,http://www.wikidata.org/entity/Q34189,1904,Stoneheart,Pablo Neruda,Neruda,Q3285533,Q34189
http://www.wikidata.org/entity/Q7752263,http://www.wikidata.org/entity/Q5052113,1829,The Mormon Prophet and His Harem,Catharine Van Valkenburg Waite,Waite,Q7752263,Q5052113
http://www.wikidata.org/entity/Q753251,http://www.wikidata.org/entity/Q49767,1768,Atala,François-Auguste-René de Chateaubriand,Chateaubriand,Q753251,Q49767
http://www.wikidata.org/entity/Q19787037,http://www.wikidata.org/entity/Q3811584,1857,The War with Mexico,Justin Harvey Smith,Smith,Q19787037,Q3811584
http://www.wikidata.org/entity/Q19787037,http://www.wikidata.org/entity/Q3811584,1857,The War with Mexico,Justin Harvey Smith,Smith,Q19787037,Q3811584
http://www.wikidata.org/entity/Q20564117,http://www.wikidata.org/entity/Q47121825,1930,Charlie,Gwen Redvers Jones,Jones,Q20564117,Q47121825
http://www.wikidata.org/entity/Q4883753,http://www.wikidata.org/entity/Q217557,1938,Bellefleur,Joyce Carol Oates,Oates,Q4883753,Q217557
http://www.wikidata.org/entity/Q1365837,http://www.wikidata.org/entity/Q77226,1879,Der Tunnel,Bernhard Kellermann,Kellermann,Q1365837,Q77226
http://www.wikidata.org/entity/Q109336118,http://www.wikidata.org/entity/Q1276843,1869,Spiders,Ivo Ćipiko,Ćipiko,Q109336118,Q1276843
http://www.wikidata.org/entity/Q7776272,http://www.wikidata.org/entity/Q12407121,1844,The Wreck of the Grosvenor,William Clark Russell,Russell,Q7776272,Q12407121
http://www.wikidata.org/entity/Q7776272,http://www.wikidata.org/entity/Q12407121,1844,The Wreck of the Grosvenor,William Clark Russell,Russell,Q7776272,Q12407121
http://www.wikidata.org/entity/Q7776272,http://www.wikidata.org/entity/Q12407121,1844,The Wreck of the Grosvenor,William Clark Russell,Russell,Q7776272,Q12407121
http://www.wikidata.org/entity/Q28458144,http://www.wikidata.org/entity/Q433800,1906,The Criminal,Jim Thompson,Thompson,Q28458144,Q433800
http://www.wikidata.org/entity/Q3822183,http://www.wikidata.org/entity/Q185085,1864,Abel Sánchez,Miguel de Unamuno,Unamuno,Q3822183,Q185085
http://www.wikidata.org/entity/Q6115131,http://www.wikidata.org/entity/Q518359,1805,Jack Sheppard,William Harrison Ainsworth,Ainsworth,Q6115131,Q518359
http://www.wikidata.org/entity/Q6115131,http://www.wikidata.org/entity/Q518359,1805,Jack Sheppard,William Harrison Ainsworth,Ainsworth,Q6115131,Q518359
http://www.wikidata.org/entity/Q6115131,http://www.wikidata.org/entity/Q518359,1805,Jack Sheppard,William Harrison Ainsworth,Ainsworth,Q6115131,Q518359
http://www.wikidata.org/entity/Q51491686,http://www.wikidata.org/entity/Q8013887,1857,Hugh Miller,William Keith Leask,Leask,Q51491686,Q8013887
http://www.wikidata.org/entity/Q7225763,http://www.wikidata.org/entity/Q1927519,1967,Polly,Freya North,North,Q7225763,Q1927519
http://www.wikidata.org/entity/Q2896754,http://www.wikidata.org/entity/Q5686,1812,Bentley's Miscellany,Charles Dickens,Dickens,Q2896754,Q5686
http://www.wikidata.org/entity/Q2896754,http://www.wikidata.org/entity/Q518359,1805,Bentley's Miscellany,William Harrison Ainsworth,Ainsworth,Q2896754,Q518359
http://www.wikidata.org/entity/Q6240780,http://www.wikidata.org/entity/Q6283945,1834,John Inglesant,Joseph Henry Shorthouse,Shorthouse,Q6240780,Q6283945
http://www.wikidata.org/entity/Q6240780,http://www.wikidata.org/entity/Q6283945,1834,John Inglesant,Joseph Henry Shorthouse,Shorthouse,Q6240780,Q6283945
http://www.wikidata.org/entity/Q109621663,http://www.wikidata.org/entity/Q40640,1920,The Crowd,Ray Bradbury,Bradbury,Q109621663,Q40640
http://www.wikidata.org/entity/Q120911074,http://www.wikidata.org/entity/Q30251325,1871,Held to Answer,Peter Clark MacFarlane,MacFarlane,Q120911074,Q30251325
http://www.wikidata.org/entity/Q16934375,http://www.wikidata.org/entity/Q237196,1856,The Last Boer War,H. Rider Haggard,Haggard,Q16934375,Q237196
http://www.wikidata.org/entity/Q192649,http://www.wikidata.org/entity/Q502,1783,The Red and the Black,Stendhal,Stendhal,Q192649,Q502
http://www.wikidata.org/entity/Q17513619,http://www.wikidata.org/entity/Q17411248,1981,California,Edan Lepucki,Lepucki,Q17513619,Q17411248
http://www.wikidata.org/entity/Q7169539,http://www.wikidata.org/entity/Q316313,1907,Perpetual Motion,L. Sprague de Camp,Camp,Q7169539,Q316313
http://www.wikidata.org/entity/Q651283,http://www.wikidata.org/entity/Q151936,1854,The Golden Bough,James George Frazer,Frazer,Q651283,Q151936
http://www.wikidata.org/entity/Q19129908,http://www.wikidata.org/entity/Q469134,1798,Ettore Fieramosca,Massimo d'Azeglio,d'Azeglio,Q19129908,Q469134
http://www.wikidata.org/entity/Q2405233,http://www.wikidata.org/entity/Q13515,1801,The Law,Frédéric Bastiat,Bastiat,Q2405233,Q13515
http://www.wikidata.org/entity/Q7746379,http://www.wikidata.org/entity/Q462356,1907,The Law,Roger Vailland,Vailland,Q7746379,Q462356
http://www.wikidata.org/entity/Q113367290,http://www.wikidata.org/entity/Q125663,1956,The Mark of Cain,Boris Akunin,Akunin,Q113367290,Q125663
http://www.wikidata.org/entity/Q7730322,http://www.wikidata.org/entity/Q42511,1866,The Discovery of the Future,H. G. Wells,Wells,Q7730322,Q42511
http://www.wikidata.org/entity/Q5160036,http://www.wikidata.org/entity/Q3379050,1808,Confessions of a Thug,Philip Meadows Taylor,Taylor,Q5160036,Q3379050
http://www.wikidata.org/entity/Q106621888,http://www.wikidata.org/entity/Q18526800,1810,Colin Clink,Charles Hooton,Hooton,Q106621888,Q18526800
http://www.wikidata.org/entity/Q106621888,http://www.wikidata.org/entity/Q18526800,1810,Colin Clink,Charles Hooton,Hooton,Q106621888,Q18526800
http://www.wikidata.org/entity/Q106621888,http://www.wikidata.org/entity/Q18526800,1810,Colin Clink,Charles Hooton,Hooton,Q106621888,Q18526800
http://www.wikidata.org/entity/Q7746401,http://www.wikidata.org/entity/Q929695,1848,The Law of Civilization and Decay,Brooks Adams,Adams,Q7746401,Q929695
http://www.wikidata.org/entity/Q48811858,http://www.wikidata.org/entity/Q33760,1872,Free Thought and Official Propaganda,Bertrand Russell,Russell,Q48811858,Q33760
http://www.wikidata.org/entity/Q5098569,http://www.wikidata.org/entity/Q19974442,1896,Children of the Soil,Nora Burglon,Burglon,Q5098569,Q19974442
http://www.wikidata.org/entity/Q7767953,http://www.wikidata.org/entity/Q90238,1828,The Tale of Chloe,George Meredith,Meredith,Q7767953,Q90238
http://www.wikidata.org/entity/Q147787,http://www.wikidata.org/entity/Q7243,1828,Anna Karenina,Leo Tolstoy,Tolstoy,Q147787,Q7243
http://www.wikidata.org/entity/Q147787,http://www.wikidata.org/entity/Q7243,1828,Anna Karenina,Leo Tolstoy,Tolstoy,Q147787,Q7243
http://www.wikidata.org/entity/Q7740702,http://www.wikidata.org/entity/Q90238,1828,The House on the Beach,George Meredith,Meredith,Q7740702,Q90238
http://www.wikidata.org/entity/Q7763315,http://www.wikidata.org/entity/Q3180678,1980,The Sentimentalists,Johanna Skibsrud,Skibsrud,Q7763315,Q3180678
http://www.wikidata.org/entity/Q4146406,http://www.wikidata.org/entity/Q46602,1870,The Gentleman from San Francisco,Ivan Bunin,Bunin,Q4146406,Q46602
http://www.wikidata.org/entity/Q7765253,http://www.wikidata.org/entity/Q229480,1873,The Song of the Lark,Willa Cather,Cather,Q7765253,Q229480
http://www.wikidata.org/entity/Q51432717,http://www.wikidata.org/entity/Q770417,1836,The works of Francis Maitland Balfour,Michael Foster,Foster,Q51432717,Q770417
http://www.wikidata.org/entity/Q51432717,http://www.wikidata.org/entity/Q1348857,1851,The works of Francis Maitland Balfour,Francis Maitland Balfour,Balfour,Q51432717,Q1348857
http://www.wikidata.org/entity/Q51432717,http://www.wikidata.org/entity/Q4679748,1854,The works of Francis Maitland Balfour,Adam Sedgwick,Sedgwick,Q51432717,Q4679748
http://www.wikidata.org/entity/Q51432717,http://www.wikidata.org/entity/Q770417,1836,The works of Francis Maitland Balfour,Michael Foster,Foster,Q51432717,Q770417
http://www.wikidata.org/entity/Q51432717,http://www.wikidata.org/entity/Q1348857,1851,The works of Francis Maitland Balfour,Francis Maitland Balfour,Balfour,Q51432717,Q1348857
http://www.wikidata.org/entity/Q51432717,http://www.wikidata.org/entity/Q4679748,1854,The works of Francis Maitland Balfour,Adam Sedgwick,Sedgwick,Q51432717,Q4679748
http://www.wikidata.org/entity/Q1216210,http://www.wikidata.org/entity/Q313077,1945,The Sea,John Banville,Banville,Q1216210,Q313077
http://www.wikidata.org/entity/Q7762747,http://www.wikidata.org/entity/Q918625,1934,The Sea,Edward Bond,Bond,Q7762747,Q918625
http://www.wikidata.org/entity/Q16932570,http://www.wikidata.org/entity/Q3316148,1825,Perlycross,Richard Doddridge Blackmore,Blackmore,Q16932570,Q3316148
http://www.wikidata.org/entity/Q4803053,http://www.wikidata.org/entity/Q1371577,1864,As a Man Thinketh,James Allen,Allen,Q4803053,Q1371577
http://www.wikidata.org/entity/Q16756945,http://www.wikidata.org/entity/Q5673,1805,The Daisy,Hans Christian Andersen,Andersen,Q16756945,Q5673
http://www.wikidata.org/entity/Q1236743,http://www.wikidata.org/entity/Q1243973,1868,South Wind,Norman Douglas,Douglas,Q1236743,Q1243973
http://www.wikidata.org/entity/Q3824975,http://www.wikidata.org/entity/Q49747,1862,The Life of the Bee,Maurice Maeterlinck,Maeterlinck,Q3824975,Q49747
http://www.wikidata.org/entity/Q3824975,http://www.wikidata.org/entity/Q49747,1862,The Life of the Bee,Maurice Maeterlinck,Maeterlinck,Q3824975,Q49747
http://www.wikidata.org/entity/Q51499467,http://www.wikidata.org/entity/Q49747,1862,The Life of the Bee,Maurice Maeterlinck,Maeterlinck,Q51499467,Q49747
http://www.wikidata.org/entity/Q7759334,http://www.wikidata.org/entity/Q356639,1899,The Rainbow and the Rose,Nevil Shute,Shute,Q7759334,Q356639
http://www.wikidata.org/entity/Q1369241,http://www.wikidata.org/entity/Q5879,1749,Götz von Berlichingen,Johann Wolfgang von Goethe,Goethe,Q1369241,Q5879
http://www.wikidata.org/entity/Q7740675,http://www.wikidata.org/entity/Q2042924,1862,The House of the Lord,James E. Talmage,Talmage,Q7740675,Q2042924
http://www.wikidata.org/entity/Q9393420,http://www.wikidata.org/entity/Q468156,1878,The Golden Snare,James Oliver Curwood,Curwood,Q9393420,Q468156
http://www.wikidata.org/entity/Q7172423,http://www.wikidata.org/entity/Q229480,1873,Peter,Willa Cather,Cather,Q7172423,Q229480
http://www.wikidata.org/entity/Q18158461,http://www.wikidata.org/entity/Q5481321,1838,Peter,Francis Hopkinson Smith,Smith,Q18158461,Q5481321
http://www.wikidata.org/entity/Q5402934,http://www.wikidata.org/entity/Q276032,1862,Ethan Frome,Edith Wharton,Wharton,Q5402934,Q276032
http://www.wikidata.org/entity/Q112080746,http://www.wikidata.org/entity/Q4768592,1807,The Household of Sir Thomas More,Anne Manning,Manning,Q112080746,Q4768592
http://www.wikidata.org/entity/Q53724846,http://www.wikidata.org/entity/Q276032,1862,Madame de Treymes,Edith Wharton,Wharton,Q53724846,Q276032
http://www.wikidata.org/entity/Q4661765,http://www.wikidata.org/entity/Q34970,1885,Aaron's Rod,D. H. Lawrence,Lawrence,Q4661765,Q34970
http://www.wikidata.org/entity/Q3053923,http://www.wikidata.org/entity/Q34981,1920,Magic,Isaac Asimov,Asimov,Q3053923,Q34981
http://www.wikidata.org/entity/Q6730586,http://www.wikidata.org/entity/Q506885,1931,Magic,William Goldman,Goldman,Q6730586,Q506885
http://www.wikidata.org/entity/Q107090393,http://www.wikidata.org/entity/Q72653,1947,Magic,Danielle Steel,Steel,Q107090393,Q72653
http://www.wikidata.org/entity/Q2399558,http://www.wikidata.org/entity/Q468851,1939,The Long Patrol,Brian Jacques,Jacques,Q2399558,Q468851
http://www.wikidata.org/entity/Q123169050,http://www.wikidata.org/entity/Q4815074,1861,How to Know the Ferns,Frances Theodora Dana,Dana,Q123169050,Q4815074
