,word,count_s,corpos_S
0,and,176588,5150227
1,of,183925,5150227
2,i,86785,5150227
3,a,128190,5150227
4,to,138400,5150227
5,that,75891,5150227
6,in,85130,5150227
7,it,70301,5150227
8,was,77023,5150227
9,he,70141,5150227
10,my,24219,5150227
11,we,29692,5150227
12,had,46364,5150227
13,as,41626,5150227
14,with,42219,5150227
15,for,38292,5150227
16,at,33587,5150227
17,me,20357,5150227
18,on,33114,5150227
19,his,47246,5150227
20,but,33086,5150227
21,all,21865,5150227
22,not,34704,5150227
23,have,25492,5150227
24,said,19892,5150227
25,they,30926,5150227
26,this,25052,5150227
27,our,10695,5150227
28,is,32150,5150227
29,were,25203,5150227
30,then,15118,5150227
31,one,20276,5150227
32,from,25467,5150227
33,be,27934,5150227
34,there,20124,5150227
35,us,9432,5150227
36,an,16749,5150227
37,cavor,228,5150227
38,about,11209,5150227
39,you,44113,5150227
40,him,20924,5150227
41,out,15634,5150227
42,by,23467,5150227
43,little,7998,5150227
44,moon,853,5150227
45,into,13634,5150227
46,or,18177,5150227
47,up,13805,5150227
48,so,16287,5150227
49,no,17028,5150227
50,very,7313,5150227
51,some,9869,5150227
52,time,9901,5150227
53,came,7558,5150227
54,these,6580,5150227
55,are,14751,5150227
56,could,15243,5150227
57,if,14521,5150227
58,upon,9389,5150227
59,seemed,4404,5150227
60,like,9254,5150227
61,which,21054,5150227
62,down,8324,5150227
63,what,14898,5150227
64,been,15348,5150227
65,would,16390,5150227
66,again,6788,5150227
67,its,9552,5150227
68,their,15591,5150227
69,must,6967,5150227
70,them,15679,5150227
71,made,6472,5150227
72,things,3935,5150227
73,more,10887,5150227
74,only,8975,5150227
75,do,14307,5150227
76,sphere,483,5150227
77,over,7946,5150227
78,see,7290,5150227
79,earth,2867,5150227
80,first,6673,5150227
81,now,11935,5150227
82,back,7594,5150227
83,selenites,107,5150227
84,did,10451,5150227
85,last,4838,5150227
86,air,2920,5150227
87,will,11765,5150227
88,can,9894,5150227
89,much,4803,5150227
90,saw,4715,5150227
91,might,5604,5150227
92,world,4431,5150227
93,through,7358,5150227
94,any,9586,5150227
95,think,4893,5150227
96,when,11477,5150227
97,thing,4202,5150227
98,sort,1609,5150227
99,light,3863,5150227
100,come,5543,5150227
101,way,5896,5150227
102,than,8446,5150227
103,space,2945,5150227
104,after,6616,5150227
105,even,6823,5150227
106,other,8043,5150227
107,man,10016,5150227
108,who,10008,5150227
109,before,8532,5150227
110,eyes,5414,5150227
111,how,6128,5150227
112,still,5618,5150227
113,should,5113,5150227
114,here,6767,5150227
115,know,7866,5150227
116,ever,3071,5150227
117,against,3824,5150227
118,men,6226,5150227
119,myself,2649,5150227
120,looked,4270,5150227
121,another,4179,5150227
122,lunar,95,5150227
123,towards,1853,5150227
124,off,4476,5150227
125,two,7618,5150227
126,feet,3348,5150227
127,moment,3678,5150227
128,something,4047,5150227
129,hand,4585,5150227
130,may,5020,5150227
131,away,4572,5150227
132,head,4209,5150227
133,stood,2828,5150227
134,just,5575,5150227
135,long,5643,5150227
136,nothing,4090,5150227
137,quite,2316,5150227
138,get,4939,5150227
139,go,4951,5150227
140,face,4333,5150227
141,sun,1984,5150227
142,too,5305,5150227
143,those,5388,5150227
144,am,3629,5150227
145,has,6474,5150227
146,though,4179,5150227
147,far,3812,5150227
148,got,3528,5150227
149,became,2009,5150227
150,went,4998,5150227
151,being,3800,5150227
152,darkness,1006,5150227
153,great,5814,5150227
154,right,4341,5150227
155,turned,3721,5150227
156,such,5056,5150227
157,every,3881,5150227
158,glass,886,5150227
159,under,3890,5150227
160,blue,1275,5150227
161,thought,5116,5150227
162,most,3837,5150227
163,make,4234,5150227
164,suddenly,2332,5150227
165,took,3308,5150227
166,going,3941,5150227
167,presently,1069,5150227
168,almost,3205,5150227
169,never,4771,5150227
170,hands,2706,5150227
171,seen,2870,5150227
172,once,3858,5150227
173,find,2907,5150227
174,perhaps,2522,5150227
175,each,3443,5150227
176,cried,1742,5150227
177,work,4905,5150227
178,mind,3182,5150227
179,felt,2579,5150227
180,indeed,1622,5150227
181,yet,4255,5150227
182,day,4223,5150227
183,your,9654,5150227
184,night,2964,5150227
185,also,2569,5150227
186,until,3092,5150227
187,began,2822,5150227
188,sat,1769,5150227
189,selenite,40,5150227
190,certain,1565,5150227
191,clear,1455,5150227
192,done,2355,5150227
193,enormous,646,5150227
194,course,3025,5150227
195,life,4425,5150227
196,side,3217,5150227
197,cavern,342,5150227
198,grand,252,5150227
199,fell,1578,5150227
200,place,3454,5150227
201,among,2231,5150227
202,below,1646,5150227
203,good,3863,5150227
204,sound,1545,5150227
205,take,3971,5150227
206,round,1606,5150227
207,asked,3803,5150227
208,vast,1015,5150227
209,three,4103,5150227
210,doubt,1213,5150227
211,why,3186,5150227
212,strange,1887,5150227
213,seem,964,5150227
214,own,4832,5150227
215,stared,658,5150227
216,heard,2803,5150227
217,between,3162,5150227
218,new,3883,5150227
219,told,2693,5150227
220,behind,2798,5150227
221,crater,176,5150227
222,sky,1362,5150227
223,set,2706,5150227
224,while,4091,5150227
225,well,5607,5150227
226,found,4204,5150227
227,same,3331,5150227
228,open,2122,5150227
229,because,2805,5150227
230,point,2083,5150227
231,look,2765,5150227
232,end,2825,5150227
233,different,1108,5150227
234,huge,1058,5150227
235,imagine,464,5150227
236,altogether,469,5150227
