book,author,birthYear,bookLabel,authorLabel,authorLast
http://www.wikidata.org/entity/Q43361,http://www.wikidata.org/entity/Q34660,1965,Harry Potter and the Philosopher's Stone,J. K. Rowling,Rowling
http://www.wikidata.org/entity/Q242030,http://www.wikidata.org/entity/Q2054,-4,Apocolocyntosis,Seneca,Seneca
http://www.wikidata.org/entity/Q740473,http://www.wikidata.org/entity/Q919277,1877,The House on the Borderland,William Hope Hodgson,Hodgson
http://www.wikidata.org/entity/Q7773607,http://www.wikidata.org/entity/Q1258959,1932,The Warriors,John Jakes,Jakes
http://www.wikidata.org/entity/Q7773608,http://www.wikidata.org/entity/Q2728476,1925,The Warriors,Sol Yurick,Yurick
http://www.wikidata.org/entity/Q111601227,http://www.wikidata.org/entity/Q111232236,1947,The Warriors,Kalu Okpi,Okpi
http://www.wikidata.org/entity/Q20543676,http://www.wikidata.org/entity/Q1508382,1775,A Voyage to the Moon,George Tucker,Tucker
http://www.wikidata.org/entity/Q1043792,http://www.wikidata.org/entity/Q326467,1814,Carmilla,Sheridan Le Fanu,Fanu
http://www.wikidata.org/entity/Q19094582,http://www.wikidata.org/entity/Q974678,1872,The Mystery,Paul Laurence Dunbar,Dunbar
http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q185406,1871,The Mystery,Samuel Hopkins Adams,Adams
http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q4468433,1873,The Mystery,Stewart Edward White,White
http://www.wikidata.org/entity/Q7406333,http://www.wikidata.org/entity/Q333004,1875,Salute to Adventurers,John Buchan,Buchan
http://www.wikidata.org/entity/Q25463586,http://www.wikidata.org/entity/Q542257,1923,The Open Door,Latifa al-Zayyat,al-Zayyat
http://www.wikidata.org/entity/Q49000438,http://www.wikidata.org/entity/Q216398,1928,The Open Door,Alan Sillitoe,Sillitoe
http://www.wikidata.org/entity/Q53585,http://www.wikidata.org/entity/Q34628,1729,Hamburgische Dramaturgie,Gotthold Ephraim Lessing,Lessing
http://www.wikidata.org/entity/Q16385081,http://www.wikidata.org/entity/Q207544,1856,Aunt Jane's Nieces on Vacation,L. Frank Baum,Baum
