,item,work,itemLabel,workLabel
0,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q8337,J. K. Rowling,Harry Potter
1,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone
2,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire
3,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows
4,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince
5,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets
6,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban
7,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix
8,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q8337,J. K. Rowling,Harry Potter
9,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone
10,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire
11,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows
12,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince
13,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets
14,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban
15,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix
0,http://www.wikidata.org/entity/Q3893154,http://www.wikidata.org/entity/Q4958762,Medeiros e Albuquerque,Brazilian Republic Anthem
0,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q248678,Gottfried Keller,Q248678
1,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q936322,Gottfried Keller,The People of Seldwyla
2,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1167919,Gottfried Keller,The Banner of the Upright Seven
3,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1198871,Gottfried Keller,Green Henry
4,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1613790,Gottfried Keller,Heroic Landscape
5,http://www.wikidata.org/entity/Q122370,http://www.wikidata.org/entity/Q1904882,Gottfried Keller,Martin Salander
0,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q353180,Georg Büchner,Lenz
1,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q657215,Georg Büchner,Woyzeck
2,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q896537,Georg Büchner,The Hessian Courier
3,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q920590,Georg Büchner,Danton's Death
4,http://www.wikidata.org/entity/Q154014,http://www.wikidata.org/entity/Q1751800,Georg Büchner,Leonce and Lena
0,http://www.wikidata.org/entity/Q7788880,http://www.wikidata.org/entity/Q2460003,Thomas Davis,A Nation Once Again
0,http://www.wikidata.org/entity/Q128027,http://www.wikidata.org/entity/Q51252,Giorgio Vasari,Uffizi Gallery
1,http://www.wikidata.org/entity/Q128027,http://www.wikidata.org/entity/Q1645493,Giorgio Vasari,"Lives of the Most Excellent Painters, Sculptors, and Architects"
0,http://www.wikidata.org/entity/Q312978,http://www.wikidata.org/entity/Q11143573,Faxian,Faxian's Biography
0,http://www.wikidata.org/entity/Q49074,http://www.wikidata.org/entity/Q41359,Kurt Vonnegut,Cat's Cradle
1,http://www.wikidata.org/entity/Q49074,http://www.wikidata.org/entity/Q265954,Kurt Vonnegut,Slaughterhouse-Five
2,http://www.wikidata.org/entity/Q49074,http://www.wikidata.org/entity/Q788777,Kurt Vonnegut,Breakfast of Champions
0,http://www.wikidata.org/entity/Q360383,http://www.wikidata.org/entity/Q16495369,Gil Vicente,Auto da Barca do Inferno
0,http://www.wikidata.org/entity/Q26825,http://www.wikidata.org/entity/Q746583,Herodotus,Histories
0,http://www.wikidata.org/entity/Q1680654,http://www.wikidata.org/entity/Q106486531,James Justinian Morier,An Italian Ancedote
0,http://www.wikidata.org/entity/Q517634,http://www.wikidata.org/entity/Q7759830,George Farquhar,The Recruiting Officer
0,http://www.wikidata.org/entity/Q6779620,http://www.wikidata.org/entity/Q28428110,Mary Gaunt,Dave's Sweetheart
1,http://www.wikidata.org/entity/Q6779620,http://www.wikidata.org/entity/Q28428115,Mary Gaunt,Kirkham's Find
2,http://www.wikidata.org/entity/Q6779620,http://www.wikidata.org/entity/Q28428138,Mary Gaunt,Deadman's: An Australian Story
0,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q63685444,Lucy Aikin,Epistles on Women
1,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q80224914,Lucy Aikin,Memoirs of the Court of Queen Elizabeth
2,http://www.wikidata.org/entity/Q4530036,http://www.wikidata.org/entity/Q80224916,Lucy Aikin,The Memoirs of the Court of King James the First
