,item,work,itemLabel,workLabel
0,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q8337,J. K. Rowling,Harry Potter
1,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone
2,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire
3,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows
4,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince
5,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets
6,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban
7,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix
8,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q8337,J. K. Rowling,Harry Potter
9,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone
10,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire
11,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows
12,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince
13,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets
14,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban
15,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix
0,http://www.wikidata.org/entity/Q1065595,http://www.wikidata.org/entity/Q575800,Charles Murray,The Bell Curve
1,http://www.wikidata.org/entity/Q1065595,http://www.wikidata.org/entity/Q5151897,Charles Murray,Coming Apart
2,http://www.wikidata.org/entity/Q1065595,http://www.wikidata.org/entity/Q17149156,Charles Murray,Losing Ground
3,http://www.wikidata.org/entity/Q1065595,http://www.wikidata.org/entity/Q575800,Charles Murray,The Bell Curve
4,http://www.wikidata.org/entity/Q1065595,http://www.wikidata.org/entity/Q5151897,Charles Murray,Coming Apart
5,http://www.wikidata.org/entity/Q1065595,http://www.wikidata.org/entity/Q17149156,Charles Murray,Losing Ground
0,http://www.wikidata.org/entity/Q936710,http://www.wikidata.org/entity/Q17491527,Jacques-Émile Blanche,Flowers in a Vase
1,http://www.wikidata.org/entity/Q936710,http://www.wikidata.org/entity/Q17491677,Jacques-Émile Blanche,Igor Stravinsky
2,http://www.wikidata.org/entity/Q936710,http://www.wikidata.org/entity/Q17491959,Jacques-Émile Blanche,The Halévy family
0,http://www.wikidata.org/entity/Q449489,http://www.wikidata.org/entity/Q3796165,Clara Reeve,The Old English Baron
0,http://www.wikidata.org/entity/Q450802,http://www.wikidata.org/entity/Q2406418,Vera Brittain,Testament of Youth
0,http://www.wikidata.org/entity/Q61723,http://www.wikidata.org/entity/Q48987983,Gustav Landauer,Skepticism and mysticism
1,http://www.wikidata.org/entity/Q61723,http://www.wikidata.org/entity/Q49122026,Gustav Landauer,Revolution
2,http://www.wikidata.org/entity/Q61723,http://www.wikidata.org/entity/Q49391901,Gustav Landauer,For socialism
3,http://www.wikidata.org/entity/Q61723,http://www.wikidata.org/entity/Q49803769,Gustav Landauer,Preacher of Death
4,http://www.wikidata.org/entity/Q61723,http://www.wikidata.org/entity/Q50348962,Gustav Landauer,Friedrich Hölderlin in seinen Gedichten
5,http://www.wikidata.org/entity/Q61723,http://www.wikidata.org/entity/Q99383428,Gustav Landauer,Arnold Himmelheber
6,http://www.wikidata.org/entity/Q61723,http://www.wikidata.org/entity/Q105517304,Gustav Landauer,Shakespeare
0,http://www.wikidata.org/entity/Q331863,http://www.wikidata.org/entity/Q20962247,José Zorrilla,Don Juan Tenorio
0,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q849447,Søren Kierkegaard,Concluding Unscientific Postscript to Philosophical Fragments
1,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q861155,Søren Kierkegaard,Stages on Life's Way
2,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q1076331,Søren Kierkegaard,On the Concept of Irony with Continual Reference to Socrates
3,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q1152009,Søren Kierkegaard,Either/Or
4,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q1192442,Søren Kierkegaard,The Concept of Anxiety
5,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q1193229,Søren Kierkegaard,Fear and Trembling
6,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q1214072,Søren Kierkegaard,The Sickness Unto Death
7,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q5109537,Søren Kierkegaard,Christian Discourses
8,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q7719342,Søren Kierkegaard,The Book on Adler
9,http://www.wikidata.org/entity/Q6512,http://www.wikidata.org/entity/Q9294209,Søren Kierkegaard,Works of Love
