,item,work,itemLabel,workLabel
0,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q8337,J. K. Rowling,Harry Potter
1,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone
2,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire
3,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows
4,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince
5,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets
6,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban
7,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix
8,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q8337,J. K. Rowling,Harry Potter
9,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone
10,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire
11,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows
12,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince
13,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets
14,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban
15,http://www.wikidata.org/entity/Q34660,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix
0,http://www.wikidata.org/entity/Q1292269,http://www.wikidata.org/entity/Q22004500,Edward Augustus Freeman,The History of the Norman Conquest of England
0,http://www.wikidata.org/entity/Q771698,http://www.wikidata.org/entity/Q6754148,Edward Frederic Benson,Mapp and Lucia
0,http://www.wikidata.org/entity/Q2579425,http://www.wikidata.org/entity/Q4232653,Robert Michael Ballantyne,The Coral Island
0,http://www.wikidata.org/entity/Q12053854,http://www.wikidata.org/entity/Q59149981,Henry Cuyler Bunner,Grandfather's Fourth
0,http://www.wikidata.org/entity/Q771698,http://www.wikidata.org/entity/Q6754148,Edward Frederic Benson,Mapp and Lucia
0,http://www.wikidata.org/entity/Q2579425,http://www.wikidata.org/entity/Q4232653,Robert Michael Ballantyne,The Coral Island
0,http://www.wikidata.org/entity/Q433098,http://www.wikidata.org/entity/Q7739314,Charlotte Mary Yonge,The Heir of Redclyffe
0,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q11859,Hans Christian Andersen,The Little Mermaid
1,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q11861,Hans Christian Andersen,The Princess and the Pea
2,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q11866,Hans Christian Andersen,The Emperor's New Clothes
3,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q11868,Hans Christian Andersen,The Ugly Duckling
4,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q11870,Hans Christian Andersen,Thumbelina
5,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q11872,Hans Christian Andersen,The Steadfast Tin Soldier
6,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q11876,Hans Christian Andersen,The Little Match Girl
7,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q11880,Hans Christian Andersen,The Snow Queen
8,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q258749,Hans Christian Andersen,Ole Lukøje
9,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q1167862,Hans Christian Andersen,The Tinderbox
10,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q1196800,Hans Christian Andersen,The Swineherd
11,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q7741258,Hans Christian Andersen,The Ice-Maiden
12,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q7741637,Hans Christian Andersen,The Improvisatore
13,http://www.wikidata.org/entity/Q5673,http://www.wikidata.org/entity/Q12327365,Hans Christian Andersen,The Fairy Tale of My Life
0,http://www.wikidata.org/entity/Q210798,http://www.wikidata.org/entity/Q763184,Joris-Karl Huysmans,À rebours
1,http://www.wikidata.org/entity/Q210798,http://www.wikidata.org/entity/Q763184,Joris-Karl Huysmans,À rebours
0,http://www.wikidata.org/entity/Q213447,http://www.wikidata.org/entity/Q451517,John Millington Synge,The Playboy of the Western World
1,http://www.wikidata.org/entity/Q213447,http://www.wikidata.org/entity/Q3742640,John Millington Synge,Riders to the Sea
0,http://www.wikidata.org/entity/Q213447,http://www.wikidata.org/entity/Q451517,John Millington Synge,The Playboy of the Western World
1,http://www.wikidata.org/entity/Q213447,http://www.wikidata.org/entity/Q3742640,John Millington Synge,Riders to the Sea
0,http://www.wikidata.org/entity/Q433098,http://www.wikidata.org/entity/Q7739314,Charlotte Mary Yonge,The Heir of Redclyffe
0,http://www.wikidata.org/entity/Q433098,http://www.wikidata.org/entity/Q7739314,Charlotte Mary Yonge,The Heir of Redclyffe
