,author_QN,book_count
280,Q237196,46
554,Q42511,45
160,Q170509,44
229,Q207544,44
608,Q45765,37
482,Q35610,32
418,Q318399,31
99,Q148234,29
794,Q5686,29
1030,Q9711,27
974,Q82925,25
950,Q79025,23
182,Q183167,22
228,Q207515,22
894,Q7245,20
452,Q33977,20
687,Q504,19
464,Q34743,18
108,Q1512,17
501,Q368519,17
272,Q234530,14
333,Q276032,13
327,Q273034,13
179,Q182589,12
892,Q7243,12
236,Q214565,11
62,Q132805,10
148,Q167856,10
433,Q3316148,10
231,Q210740,10
493,Q36184,10
402,Q314158,10
530,Q38337,9
1012,Q952452,9
54,Q1293795,9
57,Q131333,9
71,Q134942,9
79,Q1364100,9
631,Q467770,9
95,Q1444002,9
244,Q218698,9
1,Q102513,9
261,Q231708,9
545,Q41502,8
288,Q2415217,8
470,Q34970,8
375,Q30875,8
166,Q172788,8
146,Q167768,8
522,Q38082,8
370,Q301983,8
807,Q5879,8
11,Q110436,8
869,Q69339,8
241,Q216134,8
981,Q893138,8
258,Q229480,8
992,Q9327,8
3,Q1035,8
855,Q670179,7
680,Q4985,7
562,Q433098,7
282,Q237575,7
93,Q144090,7
610,Q458658,7
494,Q36322,7
332,Q276028,7
736,Q535,7
596,Q449234,7
970,Q82006,7
440,Q333004,7
192,Q185696,7
430,Q32829,7
32,Q123469,7
96,Q146763,6
196,Q189119,6
151,Q16867,6
931,Q76632,6
541,Q40946,6
934,Q771698,6
406,Q314993,6
504,Q37030,6
173,Q179126,6
473,Q35064,6
502,Q369790,6
1039,Q991,6
276,Q235899,6
843,Q644784,6
284,Q238140,6
720,Q526709,6
682,Q50020,6
994,Q93354,5
712,Q518359,5
540,Q40909,5
53,Q1288644,5
177,Q181667,5
936,Q7724,5
254,Q22670,5
607,Q457287,5
499,Q36661,5
396,Q313185,5
842,Q639274,5
256,Q228546,5
202,Q191050,5
268,Q233898,5
311,Q25973,5
995,Q9358,5
625,Q465179,5
701,Q5080225,5
793,Q5685,5
576,Q438241,5
589,Q44519,5
632,Q468156,5
579,Q442130,5
257,Q229226,5
291,Q247473,5
553,Q42443,5
34,Q1242472,5
460,Q345104,4
771,Q5542993,4
525,Q3816,4
976,Q859,4
170,Q173869,4
442,Q333246,4
764,Q550449,4
642,Q47152,4
862,Q6780145,4
865,Q6882,4
137,Q163069,4
152,Q168728,4
264,Q2331144,4
783,Q561408,4
91,Q1405996,4
685,Q502,4
866,Q692,4
606,Q455776,4
462,Q34628,4
972,Q82248,4
543,Q41166,4
864,Q687,4
118,Q154438,4
662,Q486096,4
567,Q435056,4
519,Q379580,4
295,Q252307,4
302,Q2579425,4
44,Q127332,4
574,Q437184,4
750,Q540427,4
961,Q8016,4
575,Q437798,4
529,Q382786,4
131,Q160627,4
968,Q81796,4
234,Q2137717,3
318,Q26993,3
290,Q246953,3
260,Q230476,3
273,Q235368,3
304,Q258001,3
227,Q207036,3
310,Q259530,3
293,Q2493772,3
556,Q42831,3
348,Q287752,3
745,Q537112,3
770,Q5536746,3
780,Q560015,3
839,Q6307756,3
845,Q6456649,3
847,Q650048,3
868,Q6929948,3
889,Q723374,3
891,Q7241,3
900,Q7287626,3
942,Q7796519,3
952,Q79759,3
967,Q81447,3
971,Q82049,3
985,Q9068,3
986,Q919277,3
991,Q9317,3
1003,Q941794,3
1008,Q944409,3
1021,Q963715,3
768,Q5531480,3
729,Q5321848,3
388,Q311526,3
710,Q5171168,3
389,Q311854,3
395,Q312829,3
407,Q315003,3
427,Q326459,3
448,Q33760,3
454,Q34190,3
471,Q34981,3
503,Q370246,3
511,Q37388,3
516,Q376859,3
527,Q38203,3
539,Q40826,3
546,Q41513,3
217,Q202749,3
569,Q4352329,3
585,Q44403,3
634,Q468280,3
666,Q489193,3
700,Q507991,3
226,Q2065950,3
0,Q101638,3
111,Q152513,3
162,Q171091,3
194,Q188385,3
180,Q182804,3
206,Q193236,3
199,Q1894814,3
198,Q189454,3
140,Q16487084,3
48,Q1281119,3
184,Q183713,3
56,Q131149,3
78,Q1359140,3
43,Q12706,3
439,Q3327092,2
438,Q332580,2
441,Q333106,2
849,Q65448,2
446,Q335064,2
451,Q33866,2
145,Q1676368,2
432,Q330376,2
84,Q1382113,2
138,Q164047,2
835,Q6261563,2
467,Q348623,2
830,Q6233717,2
484,Q356283,2
490,Q360079,2
130,Q160333,2
495,Q363227,2
50,Q1285626,2
803,Q57966,2
124,Q1585832,2
858,Q675676,2
861,Q6774396,2
859,Q6759760,2
796,Q57182,2
928,Q76480,2
351,Q2923472,2
921,Q763341,2
360,Q296809,2
362,Q298152,2
913,Q742,2
366,Q298827,2
376,Q309702,2
377,Q309759,2
898,Q728558,2
158,Q1700099,2
893,Q724395,2
33,Q1235328,2
35,Q1243973,2
394,Q3126838,2
36,Q1246814,2
156,Q169566,2
886,Q722835,2
884,Q7200,2
883,Q7199,2
403,Q314553,2
404,Q314897,2
879,Q713705,2
877,Q712746,2
412,Q3157322,2
38,Q125249,2
425,Q322871,2
508,Q37160,2
517,Q37767,2
510,Q372984,2
704,Q508101,2
602,Q453251,2
603,Q453577,2
87,Q1387643,2
86,Q1385758,2
609,Q458390,2
719,Q525713,2
612,Q460366,2
614,Q462363,2
715,Q52155909,2
618,Q463513,2
622,Q464264,2
711,Q517634,2
83,Q137679,2
792,Q5683,2
703,Q5080612,2
70,Q1349144,2
697,Q5077060,2
643,Q47162,2
644,Q472071,2
688,Q505017,2
651,Q47484,2
653,Q47737,2
75,Q1356259,2
677,Q49767,2
676,Q49747,2
665,Q4888572,2
725,Q5298346,2
89,Q1392055,2
594,Q448,2
593,Q447240,2
791,Q5673,2
28,Q123075,2
789,Q5660569,2
528,Q38221441,2
533,Q3889326,2
59,Q131805,2
107,Q151180,2
758,Q5481321,2
105,Q1508054,2
558,Q4296277,2
754,Q547414,2
753,Q544314,2
563,Q433325,2
565,Q43444,2
748,Q540166,2
568,Q43523,2
571,Q436664,2
573,Q43718,2
744,Q5370892,2
742,Q5363377,2
94,Q1443787,2
739,Q536012,2
584,Q443398,2
586,Q4443905,2
590,Q44520,2
930,Q76487,2
853,Q6694,2
14,Q1131497,2
242,Q216954,2
977,Q866496,2
200,Q189665,2
222,Q2042924,2
223,Q204936,2
998,Q938005,2
224,Q2060612,2
1015,Q957427,2
324,Q271961,2
323,Q271712,2
1016,Q957519,2
259,Q230299,2
1011,Q947986,2
7,Q108206,2
984,Q9061,2
191,Q185406,2
983,Q905,2
230,Q207640,2
953,Q79822,2
954,Q79969,2
