,author,birthYear,authorLabel,genderLabel,citizenshipLabel,religionLabel,nativeLanguageLabel,deathYear
0,http://www.wikidata.org/entity/Q34660,1965,J. K. Rowling,female,United Kingdom,Anglicanism,British English,
0,http://www.wikidata.org/entity/Q919277,1877,William Hope Hodgson,male,United Kingdom of Great Britain and Ireland,,,1918
1,http://www.wikidata.org/entity/Q919277,1877,William Hope Hodgson,male,United Kingdom of Great Britain and Ireland,,,1918
0,http://www.wikidata.org/entity/Q1508382,1775,George Tucker,male,United States of America,,,1861
0,http://www.wikidata.org/entity/Q185406,1871,Samuel Hopkins Adams,male,United States of America,,,1958
0,http://www.wikidata.org/entity/Q333004,1875,John Buchan,male,United Kingdom,,,1940
0,http://www.wikidata.org/entity/Q34628,1729,Gotthold Ephraim Lessing,male,Electorate of Saxony,Christianity,German,1781
0,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,male,United States of America,,English,1919
0,http://www.wikidata.org/entity/Q468156,1878,James Oliver Curwood,male,United States of America,,,1927
0,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,male,United Kingdom,,English,1946
0,http://www.wikidata.org/entity/Q525713,1853,Howard Pyle,male,United States of America,Quakers,American English,1911
0,http://www.wikidata.org/entity/Q167856,1789,James Fenimore Cooper,male,United States of America,,English,1851
0,http://www.wikidata.org/entity/Q36184,1847,Bram Stoker,male,United Kingdom of Great Britain and Ireland,,,1912
0,http://www.wikidata.org/entity/Q7167372,1836,Percy Greg,male,United Kingdom of Great Britain and Ireland,,,1889
0,http://www.wikidata.org/entity/Q30875,1854,Oscar Wilde,male,Republic of Ireland,Roman Catholic,English,1900
1,http://www.wikidata.org/entity/Q30875,1854,Oscar Wilde,male,United Kingdom of Great Britain and Ireland,Roman Catholic,English,1900
0,http://www.wikidata.org/entity/Q477999,1868,Mary Hunter Austin,female,United States of America,,,1934
0,http://www.wikidata.org/entity/Q6759691,1861,Margaret Marshall Saunders,female,Canada,,,1947
1,http://www.wikidata.org/entity/Q6759691,1861,Margaret Marshall Saunders,female,Canada,,,1947
0,http://www.wikidata.org/entity/Q5686,1812,Charles Dickens,male,United Kingdom of Great Britain and Ireland,Anglicanism,British English,1870
0,http://www.wikidata.org/entity/Q1387643,1868,Lloyd Osbourne,male,United States of America,,,1947
0,http://www.wikidata.org/entity/Q1564825,1847,George Grossmith,male,United Kingdom of Great Britain and Ireland,,,1912
0,http://www.wikidata.org/entity/Q146763,1872,Zane Grey,male,United States of America,,,1939
0,http://www.wikidata.org/entity/Q127332,1816,Charlotte Brontë,female,United Kingdom of Great Britain and Ireland,Anglicanism,,1855
0,http://www.wikidata.org/entity/Q20733,1884,Georges Duhamel,male,France,,French,1966
0,http://www.wikidata.org/entity/Q45765,1876,Jack London,male,United States of America,atheism,,1916
0,http://www.wikidata.org/entity/Q170509,1843,Henry James,male,United States of America,,English,1916
1,http://www.wikidata.org/entity/Q170509,1843,Henry James,male,United Kingdom of Great Britain and Ireland,,English,1916
0,http://www.wikidata.org/entity/Q704860,1892,David Garnett,male,United Kingdom,,,1981
0,http://www.wikidata.org/entity/Q33977,1828,Jules Verne,male,France,Catholicism,French,1905
0,http://www.wikidata.org/entity/Q271961,1780,Frances Trollope,female,United Kingdom,,,1863
1,http://www.wikidata.org/entity/Q271961,1780,Frances Trollope,female,Kingdom of Great Britain,,,1863
2,http://www.wikidata.org/entity/Q271961,1780,Frances Trollope,female,United Kingdom of Great Britain and Ireland,,,1863
0,http://www.wikidata.org/entity/Q212719,1893,Wilfred Owen,male,United Kingdom of Great Britain and Ireland,,English,1918
0,http://www.wikidata.org/entity/Q5879,1749,Johann Wolfgang von Goethe,male,Saxe-Weimar-Eisenach,Lutheranism,German,1832
0,http://www.wikidata.org/entity/Q1294394,1869,Edwin Arlington Robinson,male,United States of America,,,1935
0,http://www.wikidata.org/entity/Q353238,1819,Charles Kingsley,male,United Kingdom of Great Britain and Ireland,Church of England,English,1875
1,http://www.wikidata.org/entity/Q353238,1819,Charles Kingsley,male,United Kingdom of Great Britain and Ireland,Anglicanism,English,1875
0,http://www.wikidata.org/entity/Q1444002,1834,Frank R. Stockton,male,United States of America,,,1902
0,http://www.wikidata.org/entity/Q453577,1867,Henry Lawson,male,Australia,,,1922
1,http://www.wikidata.org/entity/Q453577,1867,Henry Lawson,male,United Kingdom of Great Britain and Ireland,,,1922
0,http://www.wikidata.org/entity/Q548040,1863,J. S. Fletcher,male,United Kingdom,,,1935
1,http://www.wikidata.org/entity/Q548040,1863,J. S. Fletcher,male,United Kingdom of Great Britain and Ireland,,,1935
