,work,personLabel,workLabel,person,author,last_name
0,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone,,,Rowling
1,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire,,,Rowling
2,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows,,,Rowling
3,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince,,,Rowling
4,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets,,,Rowling
5,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban,,,Rowling
6,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix,,,Rowling
0,http://www.wikidata.org/entity/Q43361,J. K. Rowling,Harry Potter and the Philosopher's Stone,http://www.wikidata.org/entity/Q34660,Q34660,Rowling
1,http://www.wikidata.org/entity/Q46751,J. K. Rowling,Harry Potter and the Goblet of Fire,http://www.wikidata.org/entity/Q34660,Q34660,Rowling
2,http://www.wikidata.org/entity/Q46758,J. K. Rowling,Harry Potter and the Deathly Hallows,http://www.wikidata.org/entity/Q34660,Q34660,Rowling
3,http://www.wikidata.org/entity/Q46887,J. K. Rowling,Harry Potter and the Half-Blood Prince,http://www.wikidata.org/entity/Q34660,Q34660,Rowling
4,http://www.wikidata.org/entity/Q47209,J. K. Rowling,Harry Potter and the Chamber of Secrets,http://www.wikidata.org/entity/Q34660,Q34660,Rowling
5,http://www.wikidata.org/entity/Q47598,J. K. Rowling,Harry Potter and the Prisoner of Azkaban,http://www.wikidata.org/entity/Q34660,Q34660,Rowling
6,http://www.wikidata.org/entity/Q80817,J. K. Rowling,Harry Potter and the Order of the Phoenix,http://www.wikidata.org/entity/Q34660,Q34660,Rowling
0,http://www.wikidata.org/entity/Q740473,William Hope Hodgson,The House on the Borderland,http://www.wikidata.org/entity/Q919277,Q919277,Hodgson
1,http://www.wikidata.org/entity/Q3824593,William Hope Hodgson,The Night Land,http://www.wikidata.org/entity/Q919277,Q919277,Hodgson
0,http://www.wikidata.org/entity/Q740473,William Hope Hodgson,The House on the Borderland,http://www.wikidata.org/entity/Q919277,Q919277,Hodgson
1,http://www.wikidata.org/entity/Q3824593,William Hope Hodgson,The Night Land,http://www.wikidata.org/entity/Q919277,Q919277,Hodgson
0,http://www.wikidata.org/entity/Q20543676,George Tucker,A Voyage to the Moon,http://www.wikidata.org/entity/Q1508382,Q1508382,Tucker
0,http://www.wikidata.org/entity/Q740473,William Hope Hodgson,The House on the Borderland,http://www.wikidata.org/entity/Q919277,Q919277,Hodgson
1,http://www.wikidata.org/entity/Q3824593,William Hope Hodgson,The Night Land,http://www.wikidata.org/entity/Q919277,Q919277,Hodgson
0,http://www.wikidata.org/entity/Q740473,William Hope Hodgson,The House on the Borderland,http://www.wikidata.org/entity/Q919277,Q919277,Hodgson
1,http://www.wikidata.org/entity/Q3824593,William Hope Hodgson,The Night Land,http://www.wikidata.org/entity/Q919277,Q919277,Hodgson
0,http://www.wikidata.org/entity/Q20543676,George Tucker,A Voyage to the Moon,http://www.wikidata.org/entity/Q1508382,Q1508382,Tucker
0,http://www.wikidata.org/entity/Q286611,Gotthold Ephraim Lessing,Nathan the Wise,http://www.wikidata.org/entity/Q34628,Q34628,Lessing
1,http://www.wikidata.org/entity/Q782653,Gotthold Ephraim Lessing,Emilia Galotti,http://www.wikidata.org/entity/Q34628,Q34628,Lessing
2,http://www.wikidata.org/entity/Q1713147,Gotthold Ephraim Lessing,Miss Sara Sampson,http://www.wikidata.org/entity/Q34628,Q34628,Lessing
3,http://www.wikidata.org/entity/Q1805712,Gotthold Ephraim Lessing,"Laocoön, an essay on the limits of painting and poetry",http://www.wikidata.org/entity/Q34628,Q34628,Lessing
0,http://www.wikidata.org/entity/Q130295,L. Frank Baum,The Wonderful Wizard of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
1,http://www.wikidata.org/entity/Q473588,L. Frank Baum,Dorothy and the Wizard in Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
2,http://www.wikidata.org/entity/Q615227,L. Frank Baum,The Patchwork Girl of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
3,http://www.wikidata.org/entity/Q1250364,L. Frank Baum,The Road to Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
4,http://www.wikidata.org/entity/Q1250364,L. Frank Baum,The Road to Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
5,http://www.wikidata.org/entity/Q1250366,L. Frank Baum,The Emerald City of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
6,http://www.wikidata.org/entity/Q1659447,L. Frank Baum,The Marvelous Land of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
7,http://www.wikidata.org/entity/Q3990060,L. Frank Baum,The Wizard of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
8,http://www.wikidata.org/entity/Q4180222,L. Frank Baum,The Life and Adventures of Santa Claus,http://www.wikidata.org/entity/Q207544,Q207544,Baum
9,http://www.wikidata.org/entity/Q4180222,L. Frank Baum,The Life and Adventures of Santa Claus,http://www.wikidata.org/entity/Q207544,Q207544,Baum
10,http://www.wikidata.org/entity/Q4375085,L. Frank Baum,A Kidnapped Santa Claus,http://www.wikidata.org/entity/Q207544,Q207544,Baum
11,http://www.wikidata.org/entity/Q4743720,L. Frank Baum,American Fairy Tales,http://www.wikidata.org/entity/Q207544,Q207544,Baum
12,http://www.wikidata.org/entity/Q4764801,L. Frank Baum,Animal Fairy Tales,http://www.wikidata.org/entity/Q207544,Q207544,Baum
13,http://www.wikidata.org/entity/Q4767669,L. Frank Baum,Annabel,http://www.wikidata.org/entity/Q207544,Q207544,Baum
14,http://www.wikidata.org/entity/Q4821956,L. Frank Baum,Aunt Jane's Nieces,http://www.wikidata.org/entity/Q207544,Q207544,Baum
15,http://www.wikidata.org/entity/Q4821959,L. Frank Baum,Aunt Jane's Nieces Abroad,http://www.wikidata.org/entity/Q207544,Q207544,Baum
16,http://www.wikidata.org/entity/Q4821961,L. Frank Baum,Aunt Jane's Nieces Out West,http://www.wikidata.org/entity/Q207544,Q207544,Baum
17,http://www.wikidata.org/entity/Q4821962,L. Frank Baum,Aunt Jane's Nieces and Uncle John,http://www.wikidata.org/entity/Q207544,Q207544,Baum
18,http://www.wikidata.org/entity/Q4821963,L. Frank Baum,Aunt Jane's Nieces at Millville,http://www.wikidata.org/entity/Q207544,Q207544,Baum
