,work,genre,workLabel,genreLabel,PublicationYear
0,http://www.wikidata.org/entity/Q43361,http://www.wikidata.org/entity/Q132311,Harry Potter and the Philosopher's Stone,fantasy,1997
1,http://www.wikidata.org/entity/Q43361,http://www.wikidata.org/entity/Q21802675,Harry Potter and the Philosopher's Stone,adventure fiction,1997
2,http://www.wikidata.org/entity/Q43361,http://www.wikidata.org/entity/Q111984153,Harry Potter and the Philosopher's Stone,young adult fiction,1997
0,http://www.wikidata.org/entity/Q740473,http://www.wikidata.org/entity/Q132311,The House on the Borderland,fantasy,1908
1,http://www.wikidata.org/entity/Q740473,http://www.wikidata.org/entity/Q16575965,The House on the Borderland,horror fiction,1908
0,http://www.wikidata.org/entity/Q20543676,http://www.wikidata.org/entity/Q8261,A Voyage to the Moon,novel,1827
1,http://www.wikidata.org/entity/Q20543676,http://www.wikidata.org/entity/Q24925,A Voyage to the Moon,science fiction,1827
0,http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q8261,The Mystery,novel,1907
1,http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q208505,The Mystery,crime novel,1907
2,http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q3440959,The Mystery,thriller novel,1907
3,http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q27217074,The Mystery,mystery novel,1907
0,http://www.wikidata.org/entity/Q53585,,Hamburgische Dramaturgie,,1769
0,http://www.wikidata.org/entity/Q16385081,,Aunt Jane's Nieces on Vacation,,1912
0,http://www.wikidata.org/entity/Q3497638,,Kazan,,1914
0,http://www.wikidata.org/entity/Q4821956,,Aunt Jane's Nieces,,1906
0,http://www.wikidata.org/entity/Q4821962,,Aunt Jane's Nieces and Uncle John,,1911
0,http://www.wikidata.org/entity/Q1218232,http://www.wikidata.org/entity/Q24925,The First Men in the Moon,science fiction,1901
1,http://www.wikidata.org/entity/Q1218232,http://www.wikidata.org/entity/Q19765983,The First Men in the Moon,romantic fiction,1901
0,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q1196408,The Merry Adventures of Robin Hood,historical fiction,1883
0,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q1196408,The Merry Adventures of Robin Hood,historical fiction,1883
0,http://www.wikidata.org/entity/Q20726020,http://www.wikidata.org/entity/Q3928536,Dracula's Guest,speculative/fantastic fiction short story,1914
0,http://www.wikidata.org/entity/Q4676516,http://www.wikidata.org/entity/Q24925,Across the Zodiac,science fiction,1880
0,http://www.wikidata.org/entity/Q1196990,http://www.wikidata.org/entity/Q35760,The Soul of Man under Socialism,essay,1891
0,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q3337126,The Land of Little Rain,nature writing,1903
0,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q3337126,The Land of Little Rain,nature writing,1903
0,http://www.wikidata.org/entity/Q883305,,Bleak House,,1853
0,http://www.wikidata.org/entity/Q2753955,http://www.wikidata.org/entity/Q319226,The Wrecker,adventure novel,1892
0,http://www.wikidata.org/entity/Q16386740,,The Lone Star Ranger,,1915
0,http://www.wikidata.org/entity/Q762203,,The Professor,,1857
0,http://www.wikidata.org/entity/Q6012178,,In the Fourth Year,,1918
0,http://www.wikidata.org/entity/Q78289676,,The Night-Born,,1911
0,http://www.wikidata.org/entity/Q7758766,,The Pupil,,1891
0,http://www.wikidata.org/entity/Q6470665,http://www.wikidata.org/entity/Q132311,Lady into Fox,fantasy,1922
0,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q24925,An Antarctic Mystery,science fiction,1897
1,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q132311,An Antarctic Mystery,fantasy,1897
2,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q2477736,An Antarctic Mystery,lost world fiction,1897
3,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q6960620,An Antarctic Mystery,travel novel,1897
4,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q11558987,An Antarctic Mystery,sea adventure novel,1897
5,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q21802675,An Antarctic Mystery,adventure fiction,1897
0,http://www.wikidata.org/entity/Q5290161,http://www.wikidata.org/entity/Q213051,Domestic Manners of the Americans,nonfiction,1832
0,http://www.wikidata.org/entity/Q4821963,,Aunt Jane's Nieces at Millville,,1908
0,http://www.wikidata.org/entity/Q4095607,http://www.wikidata.org/entity/Q1426213,The Bravo,espionage novel,1831
0,http://www.wikidata.org/entity/Q4864841,,Precaution,,1820
0,http://www.wikidata.org/entity/Q124090548,,The Vizier of the Two-Horned Alexander,,1899
0,http://www.wikidata.org/entity/Q4744113,,American Indian Stories,,1921
0,http://www.wikidata.org/entity/Q19053628,http://www.wikidata.org/entity/Q4184,Autobiography,autobiography,1874
0,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q1347298,Around the World in Eighty Days,serialized fiction,1872
1,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q1347298,Around the World in Eighty Days,serialized fiction,1873
2,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q6960620,Around the World in Eighty Days,travel novel,1872
3,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q6960620,Around the World in Eighty Days,travel novel,1873
4,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q21802675,Around the World in Eighty Days,adventure fiction,1872
5,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q21802675,Around the World in Eighty Days,adventure fiction,1873
6,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q56451354,Around the World in Eighty Days,children's fiction,1872
7,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q56451354,Around the World in Eighty Days,children's fiction,1873
0,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q1347298,Around the World in Eighty Days,serialized fiction,1872
1,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q1347298,Around the World in Eighty Days,serialized fiction,1873
2,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q6960620,Around the World in Eighty Days,travel novel,1872
3,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q6960620,Around the World in Eighty Days,travel novel,1873
4,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q21802675,Around the World in Eighty Days,adventure fiction,1872
5,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q21802675,Around the World in Eighty Days,adventure fiction,1873
6,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q56451354,Around the World in Eighty Days,children's fiction,1872
7,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q56451354,Around the World in Eighty Days,children's fiction,1873
0,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q40831,Torquato Tasso,comedy,1790
1,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q1370860,Torquato Tasso,verse drama,1790
2,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q102430127,Torquato Tasso,coming-of-age drama,1790
0,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q40831,Torquato Tasso,comedy,1790
1,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q1370860,Torquato Tasso,verse drama,1790
2,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q102430127,Torquato Tasso,coming-of-age drama,1790
0,http://www.wikidata.org/entity/Q246436,,Miss Lulu Bett,,1921
0,http://www.wikidata.org/entity/Q1152137,,Extract from Captain Stormfield's Visit to Heaven,,1909
0,http://www.wikidata.org/entity/Q1066765,http://www.wikidata.org/entity/Q474090,Venus and Adonis,narrative poetry,1593
0,http://www.wikidata.org/entity/Q4821965,,Aunt Jane's Nieces in Society,,1910
0,http://www.wikidata.org/entity/Q7296258,,Rautatie,,1884
0,http://www.wikidata.org/entity/Q7296258,,Rautatie,,1884
0,http://www.wikidata.org/entity/Q1134140,http://www.wikidata.org/entity/Q2561390,Sartor Resartus,comic novel,1833
0,http://www.wikidata.org/entity/Q1134140,http://www.wikidata.org/entity/Q2561390,Sartor Resartus,comic novel,1833
