,index,work,author,birthYear,workLabel,authorLabel,genderLabel,citizenshipLabel,PublicationYear,religionLabel,nativeLanguageLabel
0,0,http://www.wikidata.org/entity/Q740473,http://www.wikidata.org/entity/Q919277,1877,The House on the Borderland,William Hope Hodgson,male,United Kingdom of Great Britain and Ireland,1908,,
1,0,http://www.wikidata.org/entity/Q20543676,http://www.wikidata.org/entity/Q1508382,1775,A Voyage to the Moon,George Tucker,male,United States of America,1827,,
2,0,http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q185406,1871,The Mystery,Samuel Hopkins Adams,male,United States of America,1907,,
3,0,http://www.wikidata.org/entity/Q53585,http://www.wikidata.org/entity/Q34628,1729,Hamburgische Dramaturgie,Gotthold Ephraim Lessing,male,Electorate of Saxony,1769,Christianity,German
4,0,http://www.wikidata.org/entity/Q16385081,http://www.wikidata.org/entity/Q207544,1856,Aunt Jane's Nieces on Vacation,L. Frank Baum,male,United States of America,1912,,English
5,0,http://www.wikidata.org/entity/Q3497638,http://www.wikidata.org/entity/Q468156,1878,Kazan,James Oliver Curwood,male,United States of America,1914,,
6,0,http://www.wikidata.org/entity/Q4821956,http://www.wikidata.org/entity/Q207544,1856,Aunt Jane's Nieces,L. Frank Baum,male,United States of America,1906,,English
7,0,http://www.wikidata.org/entity/Q4821962,http://www.wikidata.org/entity/Q207544,1856,Aunt Jane's Nieces and Uncle John,L. Frank Baum,male,United States of America,1911,,English
8,0,http://www.wikidata.org/entity/Q1218232,http://www.wikidata.org/entity/Q42511,1866,The First Men in the Moon,H. G. Wells,male,United Kingdom,1901,,English
9,0,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853,The Merry Adventures of Robin Hood,Howard Pyle,male,United States of America,1883,Quakers,American English
10,0,http://www.wikidata.org/entity/Q20726020,http://www.wikidata.org/entity/Q36184,1847,Dracula's Guest,Bram Stoker,male,United Kingdom of Great Britain and Ireland,1914,,
11,0,http://www.wikidata.org/entity/Q4676516,http://www.wikidata.org/entity/Q7167372,1836,Across the Zodiac,Percy Greg,male,United Kingdom of Great Britain and Ireland,1880,,
12,0,http://www.wikidata.org/entity/Q1196990,http://www.wikidata.org/entity/Q30875,1854,The Soul of Man under Socialism,Oscar Wilde,male,Republic of Ireland,1891,Roman Catholic,English
14,0,http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868,The Land of Little Rain,Mary Hunter Austin,female,United States of America,1903,,
15,0,http://www.wikidata.org/entity/Q883305,http://www.wikidata.org/entity/Q5686,1812,Bleak House,Charles Dickens,male,United Kingdom of Great Britain and Ireland,1853,Anglicanism,British English
16,0,http://www.wikidata.org/entity/Q2753955,http://www.wikidata.org/entity/Q1387643,1868,The Wrecker,Lloyd Osbourne,male,United States of America,1892,,
17,0,http://www.wikidata.org/entity/Q16386740,http://www.wikidata.org/entity/Q146763,1872,The Lone Star Ranger,Zane Grey,male,United States of America,1915,,
18,0,http://www.wikidata.org/entity/Q762203,http://www.wikidata.org/entity/Q127332,1816,The Professor,Charlotte Brontë,female,United Kingdom of Great Britain and Ireland,1857,Anglicanism,
19,0,http://www.wikidata.org/entity/Q6012178,http://www.wikidata.org/entity/Q42511,1866,In the Fourth Year,H. G. Wells,male,United Kingdom,1918,,English
20,0,http://www.wikidata.org/entity/Q78289676,http://www.wikidata.org/entity/Q45765,1876,The Night-Born,Jack London,male,United States of America,1911,atheism,
21,0,http://www.wikidata.org/entity/Q7758766,http://www.wikidata.org/entity/Q170509,1843,The Pupil,Henry James,male,United States of America,1891,,English
23,0,http://www.wikidata.org/entity/Q6470665,http://www.wikidata.org/entity/Q704860,1892,Lady into Fox,David Garnett,male,United Kingdom,1922,,
24,0,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q33977,1828,An Antarctic Mystery,Jules Verne,male,France,1897,Catholicism,French
25,0,http://www.wikidata.org/entity/Q5290161,http://www.wikidata.org/entity/Q271961,1780,Domestic Manners of the Americans,Frances Trollope,female,United Kingdom,1832,,
28,0,http://www.wikidata.org/entity/Q4821963,http://www.wikidata.org/entity/Q207544,1856,Aunt Jane's Nieces at Millville,L. Frank Baum,male,United States of America,1908,,English
29,0,http://www.wikidata.org/entity/Q4095607,http://www.wikidata.org/entity/Q167856,1789,The Bravo,James Fenimore Cooper,male,United States of America,1831,,English
30,0,http://www.wikidata.org/entity/Q4864841,http://www.wikidata.org/entity/Q167856,1789,Precaution,James Fenimore Cooper,male,United States of America,1820,,English
31,0,http://www.wikidata.org/entity/Q124090548,http://www.wikidata.org/entity/Q1444002,1834,The Vizier of the Two-Horned Alexander,Frank R. Stockton,male,United States of America,1899,,
32,0,http://www.wikidata.org/entity/Q4744113,http://www.wikidata.org/entity/Q2668090,1876,American Indian Stories,Zitkala-Sa,female,United States of America,1921,,Sioux
33,0,http://www.wikidata.org/entity/Q19053628,http://www.wikidata.org/entity/Q50020,1806,Autobiography,John Stuart Mill,male,United Kingdom of Great Britain and Ireland,1874,atheism,English
34,0,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q33977,1828,Around the World in Eighty Days,Jules Verne,male,France,1872,Catholicism,French
36,0,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q5879,1749,Torquato Tasso,Johann Wolfgang von Goethe,male,Saxe-Weimar-Eisenach,1790,Lutheranism,German
37,0,http://www.wikidata.org/entity/Q246436,http://www.wikidata.org/entity/Q219829,1874,Miss Lulu Bett,Zona Gale,female,United States of America,1921,,
