id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN
PG10002,1,The House on the Borderland,"Hodgson, William Hope",1877.0,1918.0,['en'],824,{'Science fiction'},,The House on the Borderland,Hodgson,http://www.wikidata.org/entity/Q740473,http://www.wikidata.org/entity/Q919277,1877.0,William Hope Hodgson,Q740473,Q919277
PG10005,"1, when only first half of the title","A Voyage to the Moon: With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",1775.0,1861.0,['en'],42,"{'Space flight to the moon -- Fiction', 'Science fiction'}",,A Voyage to the Moon,Tucker,http://www.wikidata.org/entity/Q20543676,http://www.wikidata.org/entity/Q1508382,1775.0,George Tucker,Q20543676,Q1508382
PG10008,1,The Mystery,"Adams, Samuel Hopkins",1871.0,1958.0,['en'],27,{'Science fiction'},,The Mystery,Adams,http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q185406,1871.0,Samuel Hopkins Adams,Q95981569,Q185406
PG10046,1,Salute to Adventurers,"Buchan, John",1875.0,1940.0,['en'],24,"{'Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Jamestown (Va.) -- Fiction', 'Scottish Americans -- Virginia -- Fiction', 'Historical fiction', 'Glasgow (Scotland) -- Fiction'}",,Salute to Adventurers,Buchan,http://www.wikidata.org/entity/Q7406333,http://www.wikidata.org/entity/Q333004,1875.0,John Buchan,Q7406333,Q333004
PG10055,,Hamburgische Dramaturgie,"Lessing, Gotthold Ephraim",1729.0,1781.0,['de'],57,"{'Drama -- Technique', 'Aristotle, 384 BC-322 BC. Poetics'}",,Hamburgische Dramaturgie,Lessing,http://www.wikidata.org/entity/Q53585,http://www.wikidata.org/entity/Q34628,1729.0,Gotthold Ephraim Lessing,Q53585,Q34628
PG10059,,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],24,"{'Mystery and detective stories', 'Young women -- Social life and customs -- Juvenile fiction', 'Women authors -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Newspaper publishing -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces on Vacation,Baum,http://www.wikidata.org/entity/Q16385081,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q16385081,Q207544
PG10084,,Kazan,"Curwood, James Oliver",1878.0,1927.0,['en'],98,"{'Wolfdogs -- Fiction', 'Dogs -- Fiction'}",,Kazan,Curwood,http://www.wikidata.org/entity/Q3497638,http://www.wikidata.org/entity/Q468156,1878.0,James Oliver Curwood,Q3497638,Q468156
PG10123,,Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],35,"{'Families -- Economic aspects -- Juvenile fiction', 'Family -- Juvenile fiction', 'Aunts -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces,Baum,http://www.wikidata.org/entity/Q4821956,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q4821956,Q207544
PG10124,,Aunt Jane's Nieces and Uncle John,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],40,"{'California -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Western stories', 'Brigands and robbers -- Juvenile fiction', 'West (U.S.) -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Rocky Mountains -- Description and travel -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction'}",,Aunt Jane's Nieces and Uncle John,Baum,http://www.wikidata.org/entity/Q4821962,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q4821962,Q207544
PG1013,,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],168,"{'Utopian fiction', 'Satire', 'Science fiction', 'Imperialism -- Fiction', 'Utopias -- Fiction', 'Space flight to the moon -- Fiction', 'Moon -- Fiction'}",,The First Men in the Moon,Wells,http://www.wikidata.org/entity/Q1218232,http://www.wikidata.org/entity/Q42511,1866.0,H. G. Wells,Q1218232,Q42511
PG10148,,The Merry Adventures of Robin Hood,"Pyle, Howard",1853.0,1911.0,['en'],1346,"{'Folklore -- England', 'Robin Hood (Legendary character) -- Legends'}",,The Merry Adventures of Robin Hood,Pyle,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853.0,Howard Pyle,Q7751092,Q525713
PG10148,,The Merry Adventures of Robin Hood,"Pyle, Howard",1853.0,1911.0,['en'],1346,"{'Folklore -- England', 'Robin Hood (Legendary character) -- Legends'}",,The Merry Adventures of Robin Hood,Pyle,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853.0,Howard Pyle,Q7751092,Q525713
PG26467,,The Merry Adventures of Robin Hood,"Pyle, Howard",1853.0,1911.0,['en'],101,"{'Folklore -- England', 'Robin Hood (Legendary character) -- Legends'}",,The Merry Adventures of Robin Hood,Pyle,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853.0,Howard Pyle,Q7751092,Q525713
PG26467,,The Merry Adventures of Robin Hood,"Pyle, Howard",1853.0,1911.0,['en'],101,"{'Folklore -- England', 'Robin Hood (Legendary character) -- Legends'}",,The Merry Adventures of Robin Hood,Pyle,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853.0,Howard Pyle,Q7751092,Q525713
PG10149,,"Home as Found: Sequel to ""Homeward Bound""","Cooper, James Fenimore",1789.0,1851.0,['en'],24,{'United States -- Social life and customs -- Fiction'},,Home as Found,Cooper,http://www.wikidata.org/entity/Q65051190,http://www.wikidata.org/entity/Q167856,1789.0,James Fenimore Cooper,Q65051190,Q167856
PG10150,,Dracula's Guest,"Stoker, Bram",1847.0,1912.0,['en'],1463,"{'Short stories', 'Horror tales', 'Gothic fiction'}",,Dracula's Guest,Stoker,http://www.wikidata.org/entity/Q20726020,http://www.wikidata.org/entity/Q36184,1847.0,Bram Stoker,Q20726020,Q36184
PG10165,,Across the Zodiac: The Story of a Wrecked Record,"Greg, Percy",1836.0,1889.0,['en'],87,{'Science fiction'},,Across the Zodiac,Greg,http://www.wikidata.org/entity/Q4676516,http://www.wikidata.org/entity/Q7167372,1836.0,Percy Greg,Q4676516,Q7167372
PG1017,,The Soul of Man under Socialism,"Wilde, Oscar",1854.0,1900.0,['en'],506,{'Socialism'},,The Soul of Man under Socialism,Wilde,http://www.wikidata.org/entity/Q1196990,http://www.wikidata.org/entity/Q30875,1854.0,Oscar Wilde,Q1196990,Q30875
