,book_QN,PublicationYear,id,authorLabel,author_QN,birthYear
0,Q740473,1908.0,PG10002,William Hope Hodgson,Q919277,1877
1,Q6470665,1922.0,PG10337,David Garnett,Q704860,1892
2,Q1212137,1897.0,PG10339,Jules Verne,Q33977,1828
3,Q471005,1874.0,PG1268,Jules Verne,Q33977,1828
5,Q183565,1869.0,PG20000,Jules Verne,Q33977,1828
6,Q7767777,1908.0,PG10806,"Edward Plunkett, 18th Baron of Dunsany",Q458658,1878
7,Q7679363,1919.0,PG11440,"Edward Plunkett, 18th Baron of Dunsany",Q458658,1878
8,Q4656595,1910.0,PG57277,"Edward Plunkett, 18th Baron of Dunsany",Q458658,1878
10,Q2470392,1924.0,PG61077,"Edward Plunkett, 18th Baron of Dunsany",Q458658,1878
11,Q7719322,1912.0,PG7477,"Edward Plunkett, 18th Baron of Dunsany",Q458658,1878
12,Q5447612,1915.0,PG7838,"Edward Plunkett, 18th Baron of Dunsany",Q458658,1878
13,Q7805268,1906.0,PG8183,"Edward Plunkett, 18th Baron of Dunsany",Q458658,1878
14,Q726254,1906.0,PG10935,Selma Lagerlöf,Q44519,1858
15,Q2043958,1922.0,PG1153,Edgar Rice Burroughs,Q148234,1875
17,Q2870358,1914.0,PG123,Edgar Rice Burroughs,Q148234,1875
20,Q475589,1912.0,PG19515,Edgar Rice Burroughs,Q148234,1875
24,Q3515897,1921.0,PG2020,Edgar Rice Burroughs,Q148234,1875
26,Q673493,1918.0,PG21519,Edgar Rice Burroughs,Q148234,1875
30,Q655296,1912.0,PG23712,Edgar Rice Burroughs,Q148234,1875
33,Q15470641,1924.0,PG551,Edgar Rice Burroughs,Q148234,1875
35,Q7756640,1963.0,PG552,Edgar Rice Burroughs,Q148234,1875
37,Q7111646,1963.0,PG553,Edgar Rice Burroughs,Q148234,1875
38,Q9081967,1922.0,PG58874,Edgar Rice Burroughs,Q148234,1875
39,Q928680,1915.0,PG605,Edgar Rice Burroughs,Q148234,1875
41,Q7687022,1924.0,PG61837,Edgar Rice Burroughs,Q148234,1875
42,Q7721784,1925.0,PG69191,Edgar Rice Burroughs,Q148234,1875
43,Q3791139,1934.0,PG70195,Edgar Rice Burroughs,Q148234,1875
44,Q3514971,1930.0,PG70199,Edgar Rice Burroughs,Q148234,1875
45,Q6684488,1935.0,PG70816,Edgar Rice Burroughs,Q148234,1875
46,Q370285,1934.0,PG71370,Edgar Rice Burroughs,Q148234,1875
