,word,count_f,corpos_F
0,i,128228,7681596
1,of,255255,7681596
2,and,275059,7681596
3,a,169647,7681596
4,to,213087,7681596
5,that,119734,7681596
6,it,98157,7681596
7,was,103770,7681596
8,in,122569,7681596
9,my,40358,7681596
10,had,67361,7681596
11,as,65239,7681596
12,me,37978,7681596
13,with,68174,7681596
14,at,49806,7681596
15,for,65424,7681596
16,this,38800,7681596
17,there,28708,7681596
18,from,37184,7681596
19,but,55583,7681596
20,then,24795,7681596
21,not,56370,7681596
22,on,46669,7681596
23,have,36992,7681596
24,so,34816,7681596
25,into,18393,7681596
26,out,19993,7681596
27,is,49036,7681596
28,be,43293,7681596
29,an,19941,7681596
30,all,36734,7681596
31,up,19585,7681596
32,could,18405,7681596
33,were,36652,7681596
34,he,106306,7681596
35,now,21024,7681596
36,been,18637,7681596
37,time,12875,7681596
38,by,34396,7681596
39,which,33458,7681596
40,or,24697,7681596
41,we,33545,7681596
42,more,15943,7681596
43,seemed,6662,7681596
44,great,12263,7681596
45,down,13715,7681596
46,sun,2835,7681596
47,no,25112,7681596
48,its,11407,7681596
49,through,10027,7681596
50,came,13541,7681596
51,one,27305,7681596
52,upon,17518,7681596
53,though,7588,7681596
54,house,5158,7681596
55,saw,9203,7681596
56,they,51251,7681596
57,her,54794,7681596
58,see,12115,7681596
59,she,48814,7681596
60,night,6153,7681596
61,yet,8413,7681596
62,some,13855,7681596
63,about,14258,7681596
64,light,4463,7681596
65,little,16458,7681596
66,any,11610,7681596
67,went,9817,7681596
68,still,7781,7681596
69,once,6395,7681596
70,door,4698,7681596
71,after,10489,7681596
72,looked,7806,7681596
73,place,5858,7681596
74,again,11461,7681596
75,something,4672,7681596
76,thought,7394,7681596
77,you,65542,7681596
78,even,8325,7681596
79,his,75012,7681596
80,would,23935,7681596
81,than,12293,7681596
82,back,10738,7681596
83,project,3200,7681596
84,only,11364,7681596
85,come,11418,7681596
86,while,8588,7681596
87,pepper,107,7681596
88,nothing,6178,7681596
89,away,8389,7681596
90,what,21341,7681596
91,toward,3918,7681596
92,when,23657,7681596
93,over,11625,7681596
94,thing,4945,7681596
95,room,3837,7681596
96,must,10419,7681596
97,left,5829,7681596
98,where,10585,7681596
99,our,12159,7681596
100,how,10442,7681596
101,made,9594,7681596
102,first,8372,7681596
103,them,30132,7681596
104,pit,292,7681596
105,slowly,1952,7681596
106,last,7156,7681596
107,before,13697,7681596
108,across,2483,7681596
109,old,8933,7681596
110,stood,5980,7681596
111,very,12658,7681596
112,earth,2756,7681596
113,far,5163,7681596
114,dark,2696,7681596
115,work,4589,7681596
116,suddenly,3067,7681596
117,am,7928,7681596
118,strange,3115,7681596
119,seen,5074,7681596
120,passed,3519,7681596
121,way,9544,7681596
122,grew,2167,7681596
123,sound,2411,7681596
124,heard,6129,7681596
125,window,1636,7681596
126,long,9053,7681596
127,him,40879,7681596
128,moment,4897,7681596
129,few,4096,7681596
130,until,3368,7681596
131,things,5421,7681596
132,if,22833,7681596
133,green,2159,7681596
134,can,11496,7681596
135,right,4968,7681596
136,felt,3162,7681596
137,feeling,1069,7681596
138,appeared,2402,7681596
139,day,7248,7681596
140,did,14438,7681596
141,world,4322,7681596
142,began,4535,7681596
143,turned,5628,7681596
144,without,6783,7681596
145,other,11503,7681596
146,presently,2461,7681596
147,minute,952,7681596
148,do,20733,7681596
149,almost,3434,7681596
150,face,6967,7681596
151,these,10166,7681596
152,later,1345,7681596
153,became,2023,7681596
154,side,5190,7681596
155,fear,2884,7681596
156,noise,793,7681596
157,gardens,408,7681596
158,years,3120,7681596
159,knew,5668,7681596
160,feet,4568,7681596
161,are,21328,7681596
162,just,6605,7681596
163,space,1094,7681596
164,like,14150,7681596
165,silent,1689,7681596
166,may,8977,7681596
167,among,3777,7681596
168,tonnison,42,7681596
169,should,10113,7681596
170,said,40671,7681596
171,such,8627,7681596
172,here,9621,7681596
173,has,8647,7681596
174,go,9377,7681596
175,being,5484,7681596
176,fire,2775,7681596
177,another,5902,7681596
178,ever,5568,7681596
179,rose,2670,7681596
180,sense,1026,7681596
181,gradually,367,7681596
182,having,3254,7681596
183,days,3613,7681596
184,gone,3594,7681596
185,eyes,8981,7681596
186,much,7921,7681596
187,under,4500,7681596
188,thoughts,1103,7681596
189,quickly,1417,7681596
190,their,25535,7681596
191,water,4430,7681596
192,found,6306,7681596
193,make,6390,7681596
194,end,4176,7681596
195,hand,7835,7681596
196,dog,997,7681596
197,study,385,7681596
198,vast,629,7681596
199,mind,4541,7681596
200,off,5388,7681596
