,word,count
170,Said,39257
51,One,26064
80,Would,22731
32,Could,17909
52,Upon,16435
65,Little,15510
291,Man,14259
254,Us,14007
50,Came,13178
164,Like,13077
37,Time,12200
44,Great,11409
224,Know,11183
85,Come,10917
82,Back,10531
96,Must,10082
337,Well,9727
67,Went,9522
3165,Men,9377
211,Might,9104
498,Shall,9022
174,Go,8985
234,Two,8980
101,Made,8883
185,Eyes,8759
1490,Thou,8721
126,Long,8681
109,Old,8526
352,Never,8231
89,Away,8162
78,Even,7960
61,Yet,7900
102,First,7875
72,Looked,7703
68,Still,7566
53,Though,7394
195,Hand,7377
186,Much,7347
76,Thought,7224
482,Good,7016
106,Last,6952
139,Day,6939
243,Head,6838
150,Face,6835
279,Think,6598
204,Many,6580
43,Seemed,6569
485,Asked,6328
336,Tell,6318
144,Without,6178
192,Found,6039
60,Night,6002
124,Heard,5926
668,People,5924
193,Make,5860
110,Stood,5814
1918,Thee,5800
88,Nothing,5770
73,Place,5569
97,Left,5563
177,Another,5544
159,Knew,5532
576,Take,5519
143,Turned,5513
178,Ever,5322
230,Look,5294
572,Let,5236
131,Things,5199
362,Life,5194
262,Took,5145
54,House,4991
154,Side,4990
113,Far,4979
600,Voice,4940
304,Also,4912
372,Told,4865
119,Seen,4845
94,Thing,4801
128,Moment,4730
135,Right,4724
422,Get,4719
508,Three,4602
75,Something,4600
70,Door,4582
394,Find,4572
676,Answered,4568
606,Heart,4523
160,Feet,4445
115,Work,4429
142,Began,4407
326,Since,4392
199,Mind,4364
458,Every,4332
64,Light,4326
191,Water,4262
228,White,4212
4377,Cried,4196
2354,Woman,4160
319,Set,4137
821,Replied,4133
386,Hands,4085
5186,Till,4035
141,World,4023
194,End,3974
3609,Girl,3969
324,Going,3956
341,Quite,3942
546,Done,3930
91,Toward,3912
280,Put,3866
272,Behind,3847
95,Room,3827
1873,Words,3804
342,Enough,3758
339,Indeed,3737
523,Give,3735
371,Soon,3715
269,Sat,3658
301,Fell,3649
287,Dead,3580
167,Among,3579
2789,Father,3571
235,Gave,3566
9810,Thy,3557
184,Gone,3524
183,Days,3489
566,Got,3429
5194,Lady,3429
120,Passed,3399
282,Part,3397
673,Always,3392
836,Together,3391
219,Along,3352
494,New,3328
149,Almost,3324
8077,Boy,3306
5265,Young,3291
5188,Round,3273
534,High,3269
1264,Land,3242
421,Brought,3238
310,Others,3208
83,Project,3196
524,Called,3189
312,Better,3135
136,Felt,3132
669,Word,3123
218,Within,3094
217,Perhaps,3086
214,Sea,3076
5127,City,3072
308,Black,3038
118,Strange,3020
562,Course,3014
158,Years,3001
116,Suddenly,2976
568,Next,2955
697,Death,2954
297,Alone,2952
1920,Chapter,2936
281,Looking,2931
207,Full,2917
299,Morning,2905
390,Open,2861
377,Air,2855
2020,Lord,2805
374,Matter,2772
46,Sun,2764
1056,Home,2758
814,Name,2747
155,Fear,2735
238,However,2711
276,Small,2691
267,Held,2657
112,Earth,2656
208,Thus,2648
321,Near,2640
736,Country,2639
419,Around,2638
114,Dark,2617
674,Rather,2607
176,Fire,2603
5193,Children,2601
201,Anything,2597
636,Body,2589
1050,Whose,2576
664,Friend,2572
881,Sure,2560
239,Hear,2542
4063,Mother,2527
675,Yes,2512
487,Spoke,2504
515,Help,2484
409,Ran,2483
5196,Towards,2465
248,Whole,2459
976,Arms,2446
1105,Speak,2445
586,Keep,2445
213,Half,2440
448,Ground,2429
1209,Poor,2427
108,Across,2425
245,Beyond,2405
955,Kind,2403
375,Followed,2386
2731,Oh,2386
146,Presently,2373
368,Leave,2372
623,None,2349
385,Already,2346
527,Rest,2341
14189,Queen,2333
138,Appeared,2330
264,Trees,2310
867,Believe,2309
123,Sound,2304
283,Coming,2297
613,Forth,2296
296,Close,2294
303,Least,2276
232,Sight,2271
415,Wind,2259
1077,Wish,2258
443,Lost,2257
1470,Dear,2254
5260,Sir,2241
447,Taken,2232
3866,Want,2205
896,Person,2191
825,Return,2186
5311,Women,2184
432,God,2179
256,Wall,2174
418,Certain,2164
206,Reached,2151
1319,True,2145
1110,Best,2144
489,Hour,2134
9928,Ye,2131
1276,Big,2124
205,Save,2121
122,Grew,2118
290,River,2098
2404,Fair,2097
133,Green,2084
8675,Magic,2071
253,Beneath,2037
449,Returned,2028
294,Less,2007
563,Either,2003
1222,Led,2002
640,Really,1994
2953,Beautiful,1991
240,Whether,1988
1101,Hard,1987
153,Became,1978
231,Silence,1977
332,Use,1976
6595,Island,1965
244,Forward,1965
479,Story,1964
672,Hold,1957
755,Live,1957
2503,Ask,1945
824,Turn,1941
6585,Captain,1915
105,Slowly,1909
5320,Master,1899
4702,Doctor,1893
553,Large,1892
530,Understand,1884
3043,Therefore,1880
445,Given,1862
1772,Call,1862
237,Sleep,1852
1083,Wild,1846
344,Opened,1841
6080,Friends,1833
828,Talk,1827
347,Deep,1822
868,Mean,1818
618,Low,1816
1887,Child,1813
1804,Beside,1811
1136,Four,1807
271,Longer,1801
1635,Gods,1797
31582,Oz,1787
537,Hundred,1785
354,Stone,1781
1145,Sent,1780
420,Evening,1779
2573,Hair,1779
822,Answer,1777
1814,Tree,1775
9765,Sword,1763
1067,Need,1747
226,Several,1746
1076,Often,1726
433,Human,1723
1342,Point,1722
1955,Die,1711
1398,Bring,1710
459,Second,1702
567,Walked,1696
1321,Blood,1693
384,Happened,1687
259,Short,1687
286,Floor,1686
7347,Folk,1683
714,Foot,1680
396,Mouth,1678
690,Blue,1676
1773,Laughed,1675
797,Mine,1670
9864,Palace,1661
635,Known,1658
241,Times,1651
38441,Ozma,1651
742,Except,1649
353,Somewhat,1646
437,Bed,1640
1174,Met,1640
391,Past,1640
8628,Gold,1637
165,Silent,1636
5240,Road,1632
701,Remember,1628
766,Become,1627
220,Moved,1627
270,Distance,1627
250,Able,1625
2985,Castle,1625
293,Kept,1622
740,Question,1622
2025,Exclaimed,1622
1298,Arm,1618
379,Caught,1608
