,id,title,language,downloads,book_QN,author_QN,authorLabel
0,PG10002,The House on the Borderland,['en'],824,Q740473,Q919277,William Hope Hodgson
1,PG10005,"A Voyage to the Moon: With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians",['en'],42,Q20543676,Q1508382,George Tucker
2,PG10008,The Mystery,['en'],27,Q95981569,Q185406,Samuel Hopkins Adams
3,PG10046,Salute to Adventurers,['en'],24,Q7406333,Q333004,John Buchan
4,PG10055,Hamburgische Dramaturgie,['de'],57,Q53585,Q34628,Gotthold Ephraim Lessing
5,PG10059,Aunt Jane's Nieces on Vacation,['en'],24,Q16385081,Q207544,L. Frank Baum
6,PG10084,Kazan,['en'],98,Q3497638,Q468156,James Oliver Curwood
7,PG10123,Aunt Jane's Nieces,['en'],35,Q4821956,Q207544,L. Frank Baum
8,PG10124,Aunt Jane's Nieces and Uncle John,['en'],40,Q4821962,Q207544,L. Frank Baum
9,PG1013,The First Men in the Moon,['en'],168,Q1218232,Q42511,H. G. Wells
10,PG10148,The Merry Adventures of Robin Hood,['en'],1346,Q7751092,Q525713,Howard Pyle
11,PG26467,The Merry Adventures of Robin Hood,['en'],101,Q7751092,Q525713,Howard Pyle
12,PG10149,"Home as Found: Sequel to ""Homeward Bound""",['en'],24,Q65051190,Q167856,James Fenimore Cooper
13,PG10150,Dracula's Guest,['en'],1463,Q20726020,Q36184,Bram Stoker
14,PG10165,Across the Zodiac: The Story of a Wrecked Record,['en'],87,Q4676516,Q7167372,Percy Greg
15,PG1017,The Soul of Man under Socialism,['en'],506,Q1196990,Q30875,Oscar Wilde
16,PG10217,The Land of Little Rain,['en'],22,Q7745380,Q477999,Mary Hunter Austin
17,PG365,The Land of Little Rain,['en'],248,Q7745380,Q477999,Mary Hunter Austin
18,PG10226,Beautiful Joe: An Autobiography,['en'],24,Q3235199,Q6759691,Margaret Marshall Saunders
19,PG2818,Beautiful Joe: An Autobiography,['en'],79,Q3235199,Q6759691,Margaret Marshall Saunders
20,PG1023,Bleak House,['en'],2537,Q883305,Q5686,Charles Dickens
21,PG1024,The Wrecker,['en'],172,Q2753955,Q1387643,Lloyd Osbourne
22,PG1026,The Diary of a Nobody,['en'],564,Q864150,Q1564825,George Grossmith
23,PG21517,The Diary of a Nobody,['en'],141,Q864150,Q1564825,George Grossmith
24,PG1027,The Lone Star Ranger: A Romance of the Border,['en'],264,Q16386740,Q146763,Zane Grey
25,PG1028,The Professor,['en'],404,Q762203,Q127332,Charlotte Brontë
26,PG10290,Confession de Minuit: Roman,['fr'],115,Q107104468,Q20733,Georges Duhamel
27,PG10291,In the Fourth Year: Anticipations of a World Peace,['en'],24,Q6012178,Q42511,H. G. Wells
28,PG1029,The Night-Born,['en'],225,Q78289676,Q45765,Jack London
29,PG1032,The Pupil,['en'],163,Q7758766,Q170509,Henry James
30,PG10337,Lady into Fox,['en'],114,Q6470665,Q704860,David Garnett
31,PG10339,An Antarctic Mystery,['en'],196,Q1212137,Q33977,Jules Verne
32,PG10345,Domestic Manners of the Americans,['en'],172,Q5290161,Q271961,Frances Trollope
33,PG1034,Poems,['en'],315,Q19038860,Q212719,Wilfred Owen
34,PG10354,Die Laune des Verliebten: Ein Schäferspiel in Versen und einem Akt,['de'],21,Q1214293,Q5879,Johann Wolfgang von Goethe
35,PG10359,Aunt Jane's Nieces at Millville,['en'],26,Q4821963,Q207544,L. Frank Baum
36,PG1035,The Man Against the Sky: A Book of Poems,['en'],109,Q30918305,Q1294394,Edwin Arlington Robinson
37,PG10363,The Bravo: A Tale,['en'],47,Q4095607,Q167856,James Fenimore Cooper
38,PG10364,Yeast: a Problem,['en'],29,Q17059277,Q353238,Charles Kingsley
39,PG10365,Precaution: A Novel,['en'],20,Q4864841,Q167856,James Fenimore Cooper
40,PG10368,The Vizier of the Two-Horned Alexander,['en'],69,Q124090548,Q1444002,Frank R. Stockton
41,PG1036,Joe Wilson and His Mates,['en'],132,Q28401667,Q453577,Henry Lawson
42,PG10373,The Middle Temple Murder,['en'],111,Q124098237,Q548040,J. S. Fletcher
43,PG26468,The Middle Temple Murder,['en'],300,Q124098237,Q548040,J. S. Fletcher
44,PG10376,American Indian Stories,['en'],1289,Q4744113,Q2668090,Zitkala-Sa
45,PG10378,Autobiography,['en'],440,Q19053628,Q50020,John Stuart Mill
46,PG10381,The History of a Crime: The Testimony of an Eye-Witness,['en'],535,Q3136618,Q535,Victor Hugo
47,PG103,Around the World in Eighty Days,['en'],4460,Q1219561,Q33977,Jules Verne
48,PG28947,Around the World in Eighty Days,['en'],316,Q1219561,Q33977,Jules Verne
49,PG10425,Torquato Tasso: Ein Schauspiel,['de'],84,Q1432001,Q5879,Johann Wolfgang von Goethe
50,PG13328,Torquato Tasso,['fi'],11,Q1432001,Q5879,Johann Wolfgang von Goethe
51,PG10429,Miss Lulu Bett,['en'],28,Q246436,Q219829,Zona Gale
52,PG10434,"Wyandotté; Or, The Hutted Knoll: A Tale",['en'],17,Q19239942,Q167856,James Fenimore Cooper
53,PG1044,Extract from Captain Stormfield's Visit to Heaven,['en'],240,Q1152137,Q7245,Mark Twain
54,PG1045,Venus and Adonis,['en'],179,Q1066765,Q692,William Shakespeare
55,PG10468,Aunt Jane's Nieces in Society,['en'],28,Q4821965,Q207544,L. Frank Baum
56,PG1047,The New Machiavelli,['en'],174,Q10381652,Q42511,H. G. Wells
57,PG10481,Rautatie,['fi'],28,Q7296258,Q348623,Juhani Aho
58,PG22786,Rautatie,['fi'],56,Q7296258,Q348623,Juhani Aho
59,PG1051,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,['en'],745,Q1134140,Q151403,Thomas Carlyle
60,PG20585,"Sartor Resartus, and  On Heroes, Hero-Worship, and the Heroic in History",['en'],111,Q1134140,Q151403,Thomas Carlyle
61,PG10540,Mother Carey's Chickens,['en'],49,Q6917312,Q438241,Kate Douglas Wiggin
62,PG10545,"The Sea Lions; Or, The Lost Sealers",['en'],27,Q23307980,Q167856,James Fenimore Cooper
63,PG10556,The Old Man in the Corner,['en'],234,Q7754884,Q234530,Emma Orczy
64,PG1056,Martin Eden,['en'],1052,Q1317839,Q45765,Jack London
65,PG10581,Uncle Bernac: A Memory of the Empire,['en'],23,Q48748249,Q35610,Arthur Conan Doyle
66,PG1058,The Mirror of the Sea,['en'],282,Q18635229,Q82925,Joseph Conrad
67,PG1059,The World Set Free,['en'],515,Q5051290,Q42511,H. G. Wells
68,PG105,Persuasion,['en'],5796,Q333179,Q36322,Jane Austen
69,PG22963,Persuasion,['en'],298,Q333179,Q36322,Jane Austen
70,PG36777,Persuasion,['fr'],136,Q333179,Q36322,Jane Austen
71,PG1063,The Cask of Amontillado,['en'],1608,Q1130590,Q16867,Edgar Allan Poe
72,PG1064,The Masque of the Red Death,['en'],2675,Q766086,Q16867,Edgar Allan Poe
73,PG10658,Hilda Lessways,['en'],80,Q42185117,Q314158,Arnold Bennett
74,PG1065,The Raven,['en'],520,Q22726,Q16867,Edgar Allan Poe
75,PG17192,The Raven,['en'],1746,Q22726,Q16867,Edgar Allan Poe
76,PG23901,The Raven,['en'],96,Q22726,Q16867,Edgar Allan Poe
77,PG10662,The Night Land,['en'],480,Q3824593,Q919277,William Hope Hodgson
78,PG10684,A History of Freedom of Thought,['en'],179,Q3974139,Q502912,J. B. Bury
79,PG106,Jungle Tales of Tarzan,['en'],400,Q6312905,Q148234,Edgar Rice Burroughs
80,PG10701,"The History of Rome, Book I: The Period Anterior to the Abolition of the Monarchy",['en'],81,Q1500229,Q25351,Theodor Mommsen
81,PG10702,"The History of Rome, Book II: From the Abolition of the Monarchy in Rome to the Union of Italy",['en'],30,Q1500229,Q25351,Theodor Mommsen
82,PG10703,"The History of Rome, Book III: From the Union of Italy to the Subjugation of Carthage and the Greek States",['en'],42,Q1500229,Q25351,Theodor Mommsen
