,book_QN,PublicationYear,id,authorLabel,author_QN,birthYear
0,Q20543676,1827.0,PG10005,George Tucker,Q1508382,1775
2,Q95981569,1907.0,PG10008,Samuel Hopkins Adams,Q185406,1871
3,Q860023,1919.0,PG1083,Joseph Conrad,Q82925,1857
5,Q793748,1913.0,PG1476,Joseph Conrad,Q82925,1857
8,Q1090228,1920.0,PG1712,Joseph Conrad,Q82925,1857
10,Q3685905,1911.0,PG2480,Joseph Conrad,Q82925,1857
12,Q1090444,1896.0,PG638,Joseph Conrad,Q82925,1857
14,Q3486765,1916.0,PG10977,James Oliver Curwood,Q468156,1878
15,Q30901576,1930.0,PG1098,Booth Tarkington,Q893138,1869
16,Q7164623,1914.0,PG6554,Booth Tarkington,Q893138,1869
17,Q4725707,1921.0,PG980,Booth Tarkington,Q893138,1869
18,Q3232266,1882.0,PG11060,Anatole France,Q42443,1844
19,Q3221974,1881.0,PG2123,Anatole France,Q42443,1844
20,Q4080743,1891.0,PG11686,Henryk Sienkiewicz,Q41502,1846
21,Q3794804,1912.0,PG12187,R. Austin Freeman,Q2065950,1862
22,Q3819534,1911.0,PG24201,R. Austin Freeman,Q2065950,1862
23,Q3823832,1912.0,PG12450,Elinor Glyn,Q447240,1864
24,Q1610831,1919.0,PG1245,Virginia Woolf,Q40909,1882
26,Q599198,1915.0,PG144,Virginia Woolf,Q40909,1882
27,Q1677745,1922.0,PG5670,Virginia Woolf,Q40909,1882
28,Q3824668,1898.0,PG12555,Arthur Conan Doyle,Q35610,1859
29,Q30717034,1922.0,PG1263,Edith Wharton,Q276032,1862
31,Q42728800,1907.0,PG19191,Edith Wharton,Q276032,1862
32,Q6474536,1905.0,PG284,Edith Wharton,Q276032,1862
34,Q42728054,1902.0,PG9292,Edith Wharton,Q276032,1862
35,Q10688399,1905.0,PG12935,Johannes Linnankoski,Q1092762,1869
36,Q967862,1833.0,PG1350,Honoré de Balzac,Q9711,1799
37,Q2719097,1844.0,PG1482,Honoré de Balzac,Q9711,1799
38,Q3137468,1833.0,PG7416,Honoré de Balzac,Q9711,1799
39,Q84606961,1894.0,PG13909,Anthony Hope,Q457287,1863
40,Q1174082,1913.0,PG1449,Jack London,Q45765,1876
42,Q339852,1902.0,PG14654,Jack London,Q45765,1876
43,Q7721712,1898.0,PG15067,Joris-Karl Huysmans,Q210798,1848
44,Q3275255,1888.0,PG15335,Pierre Loti,Q311854,1850
45,Q3412135,1886.0,PG2196,Pierre Loti,Q311854,1850
46,Q6087143,1855.0,PG15422,Herman Melville,Q4985,1819
47,Q5151257,1912.0,PG15992,Robert Hugh Benson,Q246953,1871
48,Q164974,1837.0,PG46675,Charles Dickens,Q5686,1812
54,Q2054880,1846.0,PG676,Charles Dickens,Q5686,1812
56,Q1557935,1864.0,PG883,Charles Dickens,Q5686,1812
58,Q1866618,1897.0,PG16517,William Somerset Maugham,Q134942,1874
59,Q795340,1925.0,PG64682,William Somerset Maugham,Q134942,1874
60,Q1192756,1875.0,PG1652,Jules Verne,Q33977,1828
63,Q84355987,1922.0,PG1734,H. G. Wells,Q42511,1866
64,Q7474518,1878.0,PG179,Henry James,Q170509,1843
65,Q2338040,1886.0,PG19717,Henry James,Q170509,1843
67,Q3659366,1890.0,PG20085,Henry James,Q170509,1843
68,Q2743868,1901.0,PG32939,Henry James,Q170509,1843
69,Q3809486,1897.0,PG33325,Henry James,Q170509,1843
70,Q3211932,1886.0,PG64599,Henry James,Q170509,1843
71,Q2943614,1897.0,PG7118,Henry James,Q170509,1843
72,Q3867271,1899.0,PG7433,Henry James,Q170509,1843
