,word,count_n,corpos_N
0,of,333320,10601584
1,and,325145,10601584
2,to,315114,10601584
3,a,259120,10601584
4,in,188575,10601584
5,i,160044,10601584
6,that,153078,10601584
7,was,154959,10601584
8,as,91742,10601584
9,he,175907,10601584
10,which,44785,10601584
11,it,139327,10601584
12,with,102298,10601584
13,my,45955,10601584
14,his,121305,10601584
15,by,46430,10601584
16,had,104940,10601584
17,on,69891,10601584
18,for,89643,10601584
19,is,67170,10601584
20,we,26451,10601584
21,not,77557,10601584
22,but,72012,10601584
23,they,46154,10601584
24,this,48981,10601584
25,were,38315,10601584
26,their,25350,10601584
27,or,31873,10601584
28,from,42515,10601584
29,be,62124,10601584
30,our,10694,10601584
31,at,76205,10601584
32,have,56885,10601584
33,you,119565,10601584
34,one,37215,10601584
35,are,27616,10601584
36,some,19892,10601584
37,me,47580,10601584
38,who,26771,10601584
39,more,24445,10601584
40,an,40122,10601584
41,so,44424,10601584
42,been,30776,10601584
43,all,48850,10601584
44,when,29094,10601584
45,would,37920,10601584
46,him,63730,10601584
47,if,38061,10601584
48,than,17386,10601584
49,them,27217,10601584
50,other,15851,10601584
51,brahmin,167,10601584
52,her,130117,10601584
53,moon,847,10601584
54,same,7680,10601584
55,after,14844,10601584
56,there,36023,10601584
57,no,34507,10601584
58,could,26425,10601584
59,time,18252,10601584
60,its,12053,10601584
61,earth,2148,10601584
62,these,11085,10601584
63,has,15802,10601584
64,now,22564,10601584
65,about,21259,10601584
66,us,10536,10601584
67,said,50482,10601584
68,great,10805,10601584
69,then,24689,10601584
70,any,18317,10601584
71,most,8603,10601584
72,those,8700,10601584
73,very,22312,10601584
74,man,22370,10601584
75,much,14639,10601584
76,what,35686,10601584
77,she,121125,10601584
78,before,14947,10601584
79,found,6957,10601584
80,every,8406,10601584
81,will,22334,10601584
82,into,21773,10601584
83,two,12476,10601584
84,first,11168,10601584
85,well,13284,10601584
86,can,16980,10601584
87,part,5144,10601584
88,your,22992,10601584
89,may,9695,10601584
90,see,18513,10601584
91,out,29044,10601584
92,little,22523,10601584
93,project,2863,10601584
94,made,14501,10601584
95,where,11089,10601584
96,soon,4373,10601584
97,do,34565,10601584
98,up,29256,10601584
99,many,6912,10601584
100,having,5229,10601584
101,being,8898,10601584
102,country,3126,10601584
103,only,18490,10601584
104,such,14023,10601584
105,own,12076,10601584
106,myself,6051,10601584
107,though,8503,10601584
108,like,23939,10601584
109,should,16132,10601584
110,however,4593,10601584
111,under,7416,10601584
112,himself,14215,10601584
113,long,10521,10601584
114,yet,9626,10601584
115,thus,3025,10601584
116,another,7543,10601584
117,while,8677,10601584
118,few,5574,10601584
119,here,11608,10601584
120,course,5934,10601584
121,work,6579,10601584
122,saw,7896,10601584
123,small,3716,10601584
124,character,1718,10601584
125,life,11876,10601584
126,through,9213,10601584
127,might,11680,10601584
128,make,10663,10601584
129,voyage,337,10601584
130,without,10372,10601584
131,again,13521,10601584
132,over,15472,10601584
133,way,12855,10601584
134,must,14405,10601584
135,thought,12838,10601584
136,upon,14976,10601584
137,did,20898,10601584
138,less,3701,10601584
139,atterley,52,10601584
140,day,9874,10601584
141,good,12741,10601584
142,both,4543,10601584
143,purpose,1684,10601584
144,never,15655,10601584
145,place,7037,10601584
146,each,5559,10601584
147,machine,268,10601584
148,people,9083,10601584
149,new,6363,10601584
150,men,8473,10601584
151,ever,7908,10601584
152,give,6866,10601584
153,set,3946,10601584
154,veenah,48,10601584
155,whom,5156,10601584
156,air,4266,10601584
157,took,7341,10601584
158,seen,5736,10601584
159,several,1826,10601584
160,told,6079,10601584
161,years,5033,10601584
162,felt,8383,10601584
163,take,9448,10601584
164,always,8270,10601584
165,still,10628,10601584
166,different,2376,10601584
167,themselves,3178,10601584
168,father,7240,10601584
169,once,8208,10601584
170,off,8145,10601584
171,also,4477,10601584
172,three,5322,10601584
173,hours,2132,10601584
174,large,2700,10601584
175,view,2008,10601584
176,mind,7839,10601584
177,even,11408,10601584
178,others,3033,10601584
179,how,14437,10601584
180,know,20411,10601584
181,often,3042,10601584
182,down,15484,10601584
183,between,5861,10601584
184,whose,3551,10601584
185,too,13202,10601584
186,seemed,10336,10601584
187,towards,3262,10601584
188,rest,2889,10601584
189,until,2949,10601584
190,passed,3906,10601584
191,am,11547,10601584
192,state,2552,10601584
193,either,2598,10601584
194,short,2901,10601584
195,making,2832,10601584
196,sun,1780,10601584
197,object,1236,10601584
198,near,3080,10601584
199,chapter,2911,10601584
200,return,2409,10601584
201,received,1837,10601584
202,thing,7463,10601584
203,light,5482,10601584
204,number,1252,10601584
205,eye,2391,10601584
206,science,373,10601584
207,nature,3026,10601584
208,means,2258,10601584
209,works,1614,10601584
210,appearance,1509,10601584
211,continued,3082,10601584
212,added,3301,10601584
213,old,14025,10601584
214,far,5405,10601584
215,feelings,1385,10601584
216,subject,1860,10601584
217,use,2809,10601584
218,among,3663,10601584
219,half,3928,10601584
220,sometimes,2623,10601584
221,left,7095,10601584
222,full,4340,10601584
223,four,2266,10601584
224,inhabitants,255,10601584
225,moment,8433,10601584
226,united,921,10601584
227,laws,919,10601584
228,length,1171,10601584
229,indeed,4090,10601584
230,days,4516,10601584
231,present,3248,10601584
232,rather,5895,10601584
233,night,6665,10601584
234,visit,1450,10601584
235,taken,4054,10601584
236,love,8658,10601584
237,friend,4865,10601584
238,whether,3072,10601584
239,ground,2026,10601584
240,surface,527,10601584
241,looking,5499,10601584
242,let,7423,10601584
243,end,4713,10601584
244,whole,4953,10601584
245,since,4310,10601584
246,according,925,10601584
247,city,1398,10601584
248,public,1484,10601584
249,appeared,2899,10601584
250,afterwards,999,10601584
251,mountains,529,10601584
252,better,6314,10601584
253,miles,1174,10601584
254,occasionally,468,10601584
255,europe,554,10601584
256,various,861,10601584
257,met,2517,10601584
258,although,1165,10601584
259,because,6510,10601584
260,able,2419,10601584
261,put,7460,10601584
262,carried,1781,10601584
263,greater,1084,10601584
264,form,1845,10601584
265,influence,1035,10601584
266,electronic,919,10601584
267,world,6836,10601584
268,next,4050,10601584
269,during,2382,10601584
270,given,3304,10601584
271,known,2880,10601584
272,together,4326,10601584
273,difference,921,10601584
274,family,2804,10601584
275,times,2926,10601584
276,terms,1349,10601584
277,states,1003,10601584
278,chief,628,10601584
279,ingenious,159,10601584
280,leave,3589,10601584
281,informed,502,10601584
282,replied,4252,10601584
283,garden,1576,10601584
284,say,13771,10601584
285,water,2871,10601584
286,almost,5826,10601584
287,nearly,1482,10601584
288,hand,9983,10601584
289,labour,382,10601584
290,case,3278,10601584
291,manners,588,10601584
292,ocean,283,10601584
293,farther,534,10601584
294,curiosity,810,10601584
295,former,790,10601584
296,away,10290,10601584
297,find,5063,10601584
298,eyes,13661,10601584
299,immediately,1505,10601584
300,side,5413,10601584
301,perhaps,5950,10601584
302,hour,3437,10601584
303,perceived,746,10601584
304,nothing,10469,10601584
305,formed,770,10601584
306,knowledge,1333,10601584
307,piece,1044,10601584
308,home,5188,10601584
309,think,13847,10601584
310,already,3797,10601584
311,ourselves,763,10601584
312,language,679,10601584
313,except,1911,10601584
314,entered,1834,10601584
315,nor,3932,10601584
316,opinion,1212,10601584
317,came,11942,10601584
318,shall,8623,10601584
319,head,8740,10601584
320,telescope,71,10601584
321,mahu,23,10601584
322,gutenberg,784,10601584
323,benares,22,10601584
324,history,990,10601584
325,year,2242,10601584
326,therefore,1931,10601584
327,called,3986,10601584
328,pieces,545,10601584
329,house,8206,10601584
330,pleasure,1836,10601584
331,effect,1727,10601584
332,done,5995,10601584
333,planet,78,10601584
334,balty,22,10601584
335,foundation,838,10601584
336,asia,87,10601584
337,following,1326,10601584
338,heard,6276,10601584
339,beautiful,2568,10601584
340,strange,3146,10601584
341,party,1467,10601584
342,gave,5101,10601584
343,metal,146,10601584
344,determined,1033,10601584
345,lost,2791,10601584
346,variety,282,10601584
347,learnt,251,10601584
348,somewhat,1092,10601584
349,parts,607,10601584
350,last,9671,10601584
351,probably,1533,10601584
352,fell,2483,10601584
353,discovered,923,10601584
354,hope,3300,10601584
355,occasion,1333,10601584
356,land,1581,10601584
357,lunar,26,10601584
358,name,4480,10601584
359,supposed,988,10601584
360,brought,3927,10601584
361,enough,6282,10601584
362,wish,3418,10601584
363,change,2023,10601584
364,rose,3168,10601584
365,tell,8682,10601584
366,within,2640,10601584
367,power,2506,10601584
368,sleep,1768,10601584
369,partly,570,10601584
370,objects,402,10601584
371,human,2181,10601584
372,does,5129,10601584
