,book_QN,PublicationYear,id,authorLabel,author_QN,birthYear
0,Q1218232,1901.0,PG1013,H. G. Wells,Q42511,1866
3,Q5051290,1914.0,PG1059,H. G. Wells,Q42511,1866
5,Q1215802,1904.0,PG11696,H. G. Wells,Q42511,1866
6,Q823691,1904.0,PG11870,H. G. Wells,Q42511,1866
7,Q650949,1899.0,PG12163,H. G. Wells,Q42511,1866
8,Q3793017,1895.0,PG12750,H. G. Wells,Q42511,1866
9,Q1539509,1897.0,PG26246,H. G. Wells,Q42511,1866
12,Q213019,1898.0,PG26291,H. G. Wells,Q42511,1866
15,Q7679355,1899.0,PG27365,H. G. Wells,Q42511,1866
16,Q2637002,1906.0,PG3797,H. G. Wells,Q42511,1866
17,Q28871557,1897.0,PG59774,H. G. Wells,Q42511,1866
18,Q7766265,1897.0,PG67071,H. G. Wells,Q42511,1866
19,Q964055,1908.0,PG780,H. G. Wells,Q42511,1866
21,Q4676516,1880.0,PG10165,Percy Greg,Q7167372,1836
22,Q1212137,1897.0,PG10339,Jules Verne,Q33977,1828
23,Q221765,1896.0,PG11556,Jules Verne,Q33977,1828
24,Q471005,1874.0,PG1268,Jules Verne,Q33977,1828
26,Q183565,1869.0,PG20000,Jules Verne,Q33977,1828
27,Q53592,1865.0,PG28918,Jules Verne,Q33977,1828
31,Q978723,1886.0,PG3808,Jules Verne,Q33977,1828
33,Q594139,1889.0,PG60242,Jules Verne,Q33977,1828
34,Q1306869,1871.0,PG67829,Jules Verne,Q33977,1828
35,Q368566,1901.0,PG11229,M. P. Shiel,Q2517956,1865
36,Q2043958,1922.0,PG1153,Edgar Rice Burroughs,Q148234,1875
38,Q2870358,1914.0,PG123,Edgar Rice Burroughs,Q148234,1875
41,Q475589,1912.0,PG19515,Edgar Rice Burroughs,Q148234,1875
45,Q673493,1918.0,PG21519,Edgar Rice Burroughs,Q148234,1875
49,Q15470641,1924.0,PG551,Edgar Rice Burroughs,Q148234,1875
